Sexo;UF;Bairro;CargoAtual;Idade;Avaliacao_de_Desempenho;Salario;FaixaDeRenda;Distanciadotrabaho;tempoPermanencia
Masculino;RJ;BARRA DA TIJUCA;Gerente;31;71;9122;Superior;20;Mais de 3 anos
Masculino;RJ;Santa Rosa;Assistente;27;60;1401;Fundamental;20;Até 1 ano
Masculino;RJ;IPANEMA;Assistente;47;73;1914;Médio;8;Entre 1 e 2 anos
Masculino;RJ;Pechincha;Assistente;47;73;1914;Médio;25;Entre 1 e 2 anos
Masculino;RJ;IPANEMA;Analista;28;64;2297;Médio;8;Até 1 ano
Masculino;RJ;Barra da Tijuca;Assistente;31;75;1988;Médio;20;Até 1 ano
Masculino;RJ;BARRA DA TIJUCA;Assistente;22;72;1386;Médio;20;Até 1 ano
Masculino;RJ;ENGENHO NOVO;Assistente;26;62;1760;Médio;8;Até 1 ano
Masculino;RJ;BENTO RIBEIRO;Assistente;36;72;1434;Fundamental;25;Até 1 ano
Masculino;RJ;IRAJÁ;Analista;23;73;3893;Médio;15;Mais de 3 anos
Masculino;RJ;BARRA DA TIJUCA;Analista;28;68;2010;Médio;20;Até 1 ano
Masculino;RJ;Centro;Assistente;40;58;1397;Fundamental;0;Até 1 ano
Masculino;RJ;VISTA ALEGRE;Assistente;40;66;1735;Fundamental;20;Entre 1 e 2 anos
Masculino;RJ;Barra da Tijuca;Analista;30;75;2059;Médio;20;Entre 1 e 2 anos
Masculino;RJ;Recreio dos Bandeirantes;Analista;30;75;2059;Médio;20;Entre 1 e 2 anos
Masculino;RJ;COPACABANA;Analista;46;76;2143;Médio;8;Entre 1 e 2 anos
Masculino;RJ;Jacarepaguá;Analista;30;63;2595;Médio;25;Até 1 ano
Masculino;RJ;Barra da Tijuca;Analista;30;63;2595;Médio;20;Até 1 ano
Masculino;RJ;AGOSTINHO PORTO;Assistente;35;60;1589;Fundamental;10;Até 1 ano
Masculino;RJ;Centro;Gerente;65;2;5211;Médio;0;Entre 1 e 2 anos
Masculino;RJ;SÃO CRISTÓVÃO;Assistente;28;45;1539;Médio;5;Até 1 ano
Masculino;RJ;COPACABANA;Gerente;28;50;4942;Médio;8;Até 1 ano
Feminino;RJ;TIJUCA;Assistente;27;8;1399;Fundamental;6;Até 1 ano
Feminino;RJ;GRAJAÚ;Analista;43;69;2137;Médio;15;Até 1 ano
Feminino;RJ;Tijuca;Analista;28;78;3425;Médio;5;Entre 1 e 2 anos
Masculino;RJ;Barra da Tijuca;Gerente;33;67;6363;Superior;20;Mais de 3 anos
Masculino;RJ;Recreio dos Bandeirantes;Analista;33;67;2121;Médio;20;Até 1 ano
Feminino;RJ;Flamengo;Analista;53;73;2947;Médio;5;Até 1 ano
Feminino;RJ;Barra da Tijuca;Analista;32;64;2537;Médio;20;Até 1 ano
Feminino;RJ;Barra da Tijuca;Assistente;33;68;1801;Médio;20;Até 1 ano
Feminino;RJ;Vila da Penha;Analista;23;49;2980;Médio;20;Até 1 ano
Feminino;RJ;COPACABANA;Assistente;56;58;1492;Fundamental;8;Até 1 ano
Feminino;RJ;JARDIM BOTÂNICO;Assistente;44;15;1506;Médio;6;Até 1 ano
Feminino;RJ;Lagoa;Analista;37;47;2375;Médio;8;Entre 1 e 2 anos
Feminino;RJ;Barra da Tijuca;Analista;53;17;2543;Médio;20;Até 1 ano
Feminino;RJ;Copacabana;Analista;38;66;3179;Médio;8;Até 1 ano
Feminino;RJ;BARRA DA TIJUCA;Gerente;26;62;9428;Superior;20;Entre 1 e 2 anos
Feminino;RJ;BARRA DA TIJUCA;Gerente;30;64;4729;Médio;20;Entre 1 e 2 anos
Feminino;RJ;TIJUCA;Assistente;27;46;1398;Médio;6;Até 1 ano
Feminino;RJ;Freguesia (Jacarepaguá);Gerente;62;78;5805;Superior;25;Mais de 3 anos
Feminino;RJ;Icaraí;Assistente;36;29;1970;Médio;10;Até 1 ano
Feminino;RJ;Joá;Gerente;59;27;4165;Médio;25;Até 1 ano
Feminino;RJ;São Conrado;Diretor;25;8;17910;Superior;14;Até 1 ano
Feminino;RJ;Jacarepaguá;Analista;38;35;2979;Médio;25;Entre 1 e 2 anos
Masculino;RJ;Recreio dos Bandeirantes;Gerente;24;79;9689;Superior;20;Mais de 3 anos
Masculino;RJ;Vila da Penha;Assistente;45;65;1350;Fundamental;20;Até 1 ano
Feminino;RJ;Vila Sarapuí;Gerente;23;75;5138;Médio;40;Entre 1 e 2 anos
