Data	Codigo_Atendimento	Código Marca	Marca	Código Modelo	Modelo	Código Defeito	Defeito	Código Grupo Defeito	Grupo Defeito
30/01/2019	TC123376	1	Apple	1	Iphone 5s	1	Display Quebrado	1	Display
09/02/2019	TC123376	1	Apple	1	Iphone 5s	1	Display Quebrado	1	Display
16/04/2019	TC123397	2	Motorola	2	Moto G8 Play	1	Display Quebrado	1	Display
08/05/2019	TC123484	2	Motorola	2	Moto G8 Play	1	Display Quebrado	1	Display
21/09/2019	TC123653	3	Samsung	3	Galaxy S9	2	Microfone	2	Microfone
09/06/2019	TC123655	3	Samsung	4	Galaxy A70	1	Display Quebrado	1	Display
22/03/2019	TC123655	3	Samsung	4	Galaxy A70	3	Sem Sinal de Celular	3	Sem sinal
29/05/2019	TC123680	2	Motorola	5	One Hyper	4	Auto Falante Viva-Voz	4	Auto Falante
09/01/2019	TC123680	2	Motorola	5	One Hyper	4	Auto Falante Viva-Voz	4	Auto Falante
29/06/2019	TC123680	2	Motorola	5	One Hyper	5	Não Liga	5	Não Liga
01/07/2019	TC123695	3	Samsung	4	Galaxy A70	6	Auto Falante Dianteiro	4	Auto Falante
14/10/2019	TC123695	3	Samsung	4	Galaxy A70	1	Display Quebrado	1	Display
26/05/2019	TC123738	4	Xiaomi	6	Mi 9T	3	Sem Sinal de Celular	3	Sem sinal
31/10/2019	TC123782	2	Motorola	7	Moto E6 PLUS	1	Display Quebrado	1	Display
28/08/2019	TC123782	2	Motorola	7	Moto E6 PLUS	1	Display Quebrado	1	Display
17/05/2019	TC123782	2	Motorola	7	Moto E6 PLUS	5	Não Liga	5	Não Liga
15/05/2019	TC123786	4	Xiaomi	6	Mi 9T	6	Auto Falante Dianteiro	4	Auto Falante
11/05/2019	TC123786	4	Xiaomi	6	Mi 9T	2	Microfone	2	Microfone
26/07/2019	TC123786	4	Xiaomi	6	Mi 9T	5	Não Liga	5	Não Liga
12/05/2019	TC123786	4	Xiaomi	6	Mi 9T	3	Sem Sinal de Celular	3	Sem sinal
31/05/2019	TC123786	4	Xiaomi	6	Mi 9T	3	Sem Sinal de Celular	3	Sem sinal
06/09/2019	TC123832	3	Samsung	3	Galaxy S9	4	Auto Falante Viva-Voz	4	Auto Falante
22/07/2019	TC123833	4	Xiaomi	8	Redmi Note 8	5	Não Liga	5	Não Liga
20/08/2019	TC123895	3	Samsung	4	Galaxy A70	1	Display Quebrado	1	Display
29/04/2019	TC123895	3	Samsung	4	Galaxy A70	5	Não Liga	5	Não Liga
02/02/2019	TC124044	2	Motorola	5	One Hyper	1	Display Quebrado	1	Display
16/10/2019	TC124091	2	Motorola	2	Moto G8 Play	4	Auto Falante Viva-Voz	4	Auto Falante
19/02/2019	TC124162	1	Apple	9	Iphone 7	1	Display Quebrado	1	Display
07/01/2019	TC124162	1	Apple	9	Iphone 7	7	Lente Camera Traseira	6	Câmera
12/08/2019	TC124188	3	Samsung	4	Galaxy A70	4	Auto Falante Viva-Voz	4	Auto Falante
28/10/2019	TC124188	3	Samsung	4	Galaxy A70	8	Botão De Power	7	Botões
01/01/2019	TC124205	4	Xiaomi	6	Mi 9T	2	Microfone	2	Microfone
15/09/2019	TC124207	2	Motorola	2	Moto G8 Play	4	Auto Falante Viva-Voz	4	Auto Falante
25/02/2019	TC124207	2	Motorola	2	Moto G8 Play	9	Carcaça Quebrada	8	Carcaça
09/04/2019	TC124207	2	Motorola	2	Moto G8 Play	1	Display Quebrado	1	Display
16/08/2019	TC124221	2	Motorola	2	Moto G8 Play	10	Capa dianteira	8	Carcaça
22/07/2019	TC124221	2	Motorola	2	Moto G8 Play	5	Não Liga	5	Não Liga
06/10/2019	TC124221	2	Motorola	2	Moto G8 Play	3	Sem Sinal de Celular	3	Sem sinal
29/10/2019	TC124221	2	Motorola	2	Moto G8 Play	3	Sem Sinal de Celular	3	Sem sinal
16/10/2019	TC124350	4	Xiaomi	6	Mi 9T	9	Carcaça Quebrada	8	Carcaça
12/08/2019	TC124350	4	Xiaomi	6	Mi 9T	2	Microfone	2	Microfone
02/06/2019	TC124416	3	Samsung	4	Galaxy A70	9	Carcaça Quebrada	8	Carcaça
15/06/2019	TC124507	2	Motorola	2	Moto G8 Play	1	Display Quebrado	1	Display
07/08/2019	TC124548	4	Xiaomi	8	Redmi Note 8	2	Microfone	2	Microfone
25/06/2019	TC124558	2	Motorola	7	Moto E6 PLUS	6	Auto Falante Dianteiro	4	Auto Falante
19/05/2019	TC124597	2	Motorola	7	Moto E6 PLUS	1	Display Quebrado	1	Display
09/09/2019	TC124597	2	Motorola	7	Moto E6 PLUS	3	Sem Sinal de Celular	3	Sem sinal
04/01/2019	TC124673	1	Apple	9	Iphone 7	11	Botão de Diminuir Volume	7	Botões
05/01/2019	TC124676	4	Xiaomi	6	Mi 9T	6	Auto Falante Dianteiro	4	Auto Falante
28/05/2019	TC124704	1	Apple	1	Iphone 5s	6	Auto Falante Dianteiro	4	Auto Falante
08/02/2019	TC124704	1	Apple	1	Iphone 5s	3	Sem Sinal de Celular	3	Sem sinal
23/02/2019	TC124719	1	Apple	9	Iphone 7	3	Sem Sinal de Celular	3	Sem sinal
29/03/2019	TC124744	3	Samsung	4	Galaxy A70	1	Display Quebrado	1	Display
19/03/2019	TC124747	2	Motorola	7	Moto E6 PLUS	1	Display Quebrado	1	Display
12/02/2019	TC124748	3	Samsung	4	Galaxy A70	12	Lente Câmera Dianteira	6	Câmera
11/10/2019	TC125051	4	Xiaomi	8	Redmi Note 8	1	Display Quebrado	1	Display
27/08/2019	TC125085	2	Motorola	5	One Hyper	10	Capa dianteira	8	Carcaça
22/10/2019	TC125085	2	Motorola	5	One Hyper	1	Display Quebrado	1	Display
05/03/2019	TC125085	2	Motorola	5	One Hyper	5	Não Liga	5	Não Liga
08/07/2019	TC125085	2	Motorola	5	One Hyper	3	Sem Sinal de Celular	3	Sem sinal
05/07/2019	TC125161	1	Apple	9	Iphone 7	4	Auto Falante Viva-Voz	4	Auto Falante
02/08/2019	TC125161	1	Apple	9	Iphone 7	1	Display Quebrado	1	Display
25/06/2019	TC125161	1	Apple	9	Iphone 7	2	Microfone	2	Microfone
31/10/2019	TC125184	4	Xiaomi	8	Redmi Note 8	6	Auto Falante Dianteiro	4	Auto Falante
15/06/2019	TC125184	4	Xiaomi	8	Redmi Note 8	3	Sem Sinal de Celular	3	Sem sinal
15/05/2019	TC125184	4	Xiaomi	8	Redmi Note 8	3	Sem Sinal de Celular	3	Sem sinal
21/05/2019	TC125184	4	Xiaomi	8	Redmi Note 8	3	Sem Sinal de Celular	3	Sem sinal
04/04/2019	TC125200	4	Xiaomi	6	Mi 9T	13	Capa Traseira	8	Carcaça
25/04/2019	TC125221	2	Motorola	7	Moto E6 PLUS	13	Capa Traseira	8	Carcaça
24/09/2019	TC125221	2	Motorola	7	Moto E6 PLUS	1	Display Quebrado	1	Display
05/03/2019	TC125221	2	Motorola	7	Moto E6 PLUS	5	Não Liga	5	Não Liga
28/07/2019	TC125221	2	Motorola	7	Moto E6 PLUS	3	Sem Sinal de Celular	3	Sem sinal
21/02/2019	TC125242	4	Xiaomi	8	Redmi Note 8	1	Display Quebrado	1	Display
22/05/2019	TC125242	4	Xiaomi	8	Redmi Note 8	1	Display Quebrado	1	Display
07/09/2019	TC125284	4	Xiaomi	6	Mi 9T	1	Display Quebrado	1	Display
05/03/2019	TC125284	4	Xiaomi	6	Mi 9T	1	Display Quebrado	1	Display
29/09/2019	TC125312	4	Xiaomi	8	Redmi Note 8	6	Auto Falante Dianteiro	4	Auto Falante
24/09/2019	TC125361	2	Motorola	7	Moto E6 PLUS	6	Auto Falante Dianteiro	4	Auto Falante
14/02/2019	TC125361	2	Motorola	7	Moto E6 PLUS	4	Auto Falante Viva-Voz	4	Auto Falante
05/03/2019	TC125361	2	Motorola	7	Moto E6 PLUS	8	Botão De Power	7	Botões
05/08/2019	TC125361	2	Motorola	7	Moto E6 PLUS	1	Display Quebrado	1	Display
09/09/2019	TC125381	2	Motorola	2	Moto G8 Play	1	Display Quebrado	1	Display
13/04/2019	TC125462	2	Motorola	2	Moto G8 Play	5	Não Liga	5	Não Liga
17/06/2019	TC125505	3	Samsung	4	Galaxy A70	1	Display Quebrado	1	Display
