CÓDIGO SAP;FAMÍLIA;APRESENTAÇÃO;QTDE;UM;PRINCIPIO ATIVO;UNIDADE DE NEGÓCIO;EMPRESA;REGISTRO MS;GGREM;NCM (CLASS FISCAL);CÓDIGO EAN;TIPO DE MEDICAMENTO;% Pis;% Cofins;TARJA;LISTA;REGIME DE PREÇOS;IPI;ICMS 0 % (PF);ICMS 0 % (PMC);ICMS 12 %  (PF);ICMS 12 % (PMC) ;ICMS 17 % (PF);ICMS 17 % (PMC);ICMS 17,5 % (PF);ICMS 17,5 % (PMC);ICMS 18 %  (PF);ICMS 18 %  (PMC);ICMS 20 % (PF);ICMS 20 % (PMC);ICMS 17 % (ALC) AC/RR (PF);ICMS 17 % (ALC) AC/RR (PMC);ICMS 17,5 % (ALC) RO (PF);ICMS 17,5 % (ALC) RO (PMC);ICMS 18 % (ALC) AM/AP (PF);ICMS 18 % (ALC) AM/AP (PMC)
1000001;ACCUVIT;ACCUVIT COMREV FRX30;30;COM REV;"POLIVITAMÍNICO; POLIMINERAL";MIP;ACHÉ;1,0573E+12;5,005E+14;30045090;7,89666E+12;ESPECÍFICO;0,021;0,099;VL;NEG;LIBERADO;0;0;0; ;112,63;90,17;120,19;90,8;121;91,44;121,83;94,09;125,24;78,5;108,52;78,97;109,17;79,45;109,83
1003649;ACEBROFILINA;ACEBROFILINA 25MG XPE FR PETX120ML;1;FR;ACEBROFILINA;GENÉRICOS;BIOSINTÉTICA;1,1213E+12;5,21116E+14;30049039;7,89618E+12;GENÉRICO;0;0;TV;POS;MONITORADO;0;0;0;16,06;22,2;17,02;23,53;17,13;23,68;17,23;23,82;17,66;24,41;17,02;23,53;17,13;23,68;17,23;23,82
1006490;ACEBROFILINA;ACEBROFILINA 25MG XPE FR PETX120ML;1;FR;ACEBROFILINA;GENÉRICOS;ACHÉ;1,05731E+12;5,5292E+14;30049039;7,89618E+12;GENÉRICO;0;0;TV;POS;MONITORADO;0;0;0;16,06;22,2;17,02;23,53;17,13;23,68;17,23;23,82;17,66;24,41;17,02;23,53;17,13;23,68;17,23;23,82
1003648;ACEBROFILINA;ACEBROFILINA 50MG XPE FR PETX120ML;1;FR;ACEBROFILINA;GENÉRICOS;BIOSINTÉTICA;1,1213E+12;5,21116E+14;30049039;7,89618E+12;GENÉRICO;0;0;TV;POS;MONITORADO;0;0;0;22,69;31,37;24,06;33,26;24,21;33,47;24,35;33,66;24,96;34,51;24,06;33,26;24,21;33,47;24,35;33,66
1006496;ACEBROFILINA;ACEBROFILINA 50MG XPE FR PETX120ML;1;FR;ACEBROFILINA;GENÉRICOS;ACHÉ;1,05731E+12;5,5292E+14;30049039;7,89618E+12;GENÉRICO;0;0;TV;POS;MONITORADO;0;0;0;22,69;31,37;24,06;33,26;24,21;33,47;24,35;33,66;24,96;34,51;24,06;33,26;24,21;33,47;24,35;33,66
1003137;ACETILCISTEINA;ACETILCISTEINA 20MG XPE FRAM VDX120ML;1;FR;ACETILCISTEÍNA;GENÉRICOS;BIOSINTÉTICA;1,1213E+12;5,21117E+14;30049099;7,89618E+12;GENÉRICO;0,021;0,099;VL;NEG;LIBERADO;0;0;0;21,32;28,48;22,8;30,39;22,96;30,6;23,12;30,8;23,79;31,67;19,85;27,44;19,97;27,61;20,09;27,77
1003166;ACETILCISTEINA;ACETILCISTEINA 40MG XPE MOR VDX120ML;1;FR;ACETILCISTEÍNA;GENÉRICOS;BIOSINTÉTICA;1,1213E+12;5,21117E+14;30049099;7,89618E+12;GENÉRICO;0,021;0,099;VL;NEG;LIBERADO;0;0;0;29,06;38,82;31,08;41,43;31,3;41,71;31,52;41,99;32,43;43,17;27,05;37,4;27,22;37,63;27,38;37,85
1006502;ACETILCISTEINA;ACETILCISTEINA 40MG XPE MOR VDX120ML;1;FR;ACETILCISTEÍNA;GENÉRICOS;ACHÉ;1,05731E+12;5,5292E+14;30049099;7,89618E+12;GENÉRICO;0,021;0,099;VL;NEG;LIBERADO;0;0;0;29,06;38,82;31,08;41,43;31,3;41,71;31,52;41,99;32,43;43,17;27,05;37,4;27,22;37,63;27,38;37,85
1000692;ACHEFLAN;ACHEFLAN AER FRX54G;1;FR;CORDIA VERBENACEA DC;PRESCRIÇÃO;ACHÉ;1,0573E+12;5,5292E+14;30049099;7,89666E+12;FITOTERÁPICO;0,021;0,099;TV;NEG;LIBERADO;0;0;0;43,67;58,33;46,7;62,25;47,02;62,66;47,36;63,1;48,73;64,86;40,65;56,2;40,9;56,54;41,15;56,89
1000643;ACHEFLAN;ACHEFLAN CREM BGX30G;1;BG;CORDIA VERBENACEA DC;PRESCRIÇÃO;ACHÉ;1,0573E+12;5,5292E+14;30049099;7,89666E+12;FITOTERÁPICO;0,021;0,099;TV;NEG;LIBERADO;0;0;0;33,42;44,64;35,74;47,64;35,99;47,96;36,24;48,28;37,29;49,63;31,11;43,01;31,3;43,27;31,49;43,53
1000717;ACHEFLAN;ACHEFLAN CREM BGX60G;1;BG;CORDIA VERBENACEA DC;PRESCRIÇÃO;ACHÉ;1,0573E+12;5,5292E+14;30049099;7,89666E+12;FITOTERÁPICO;0,021;0,099;TV;NEG;LIBERADO;0;0;0;55,73;74,44;59,6;79,44;60,02;79,98;60,44;80,52;62,19;82,78;51,88;71,72;52,2;72,16;52,52;72,61
1005119;ACICLOVIR;ACICLOVIR 200MG COM BLX25;25;COM;ACICLOVIR;GENÉRICOS;BIOSINTÉTICA;1,1213E+12;5,21126E+14;30049069;7,89618E+12;GENÉRICO;0;0;TV;POS;MONITORADO;0;0;0;88,35;122,14;93,67;129,49;94,24;130,28;94,82;131,08;97,19;134,36;93,67;129,49;94,24;130,28;94,82;131,08
1006459;ACICLOVIR;ACICLOVIR 200MG COM BLX25;25;COM;ACICLOVIR;GENÉRICOS;ACHÉ;1,05731E+12;5,52919E+14;30049069;7,89618E+12;GENÉRICO;0;0;TV;POS;MONITORADO;0;0;0;88,35;122,14;93,67;129,49;94,24;130,28;94,82;131,08;97,19;134,36;93,67;129,49;94,24;130,28;94,82;131,08
1001751;ACICLOVIR;ACICLOVIR 50MG CREM BGX10G;1;BG;ACICLOVIR;GENÉRICOS;BIOSINTÉTICA;1,1213E+12;5,21126E+14;30049069;7,89618E+12;GENÉRICO;0,021;0,099;TV;NEG;MONITORADO;0;0;0;17,84;23,83;19,08;25,43;19,21;25,6;19,35;25,78;19,91;26,5;16,61;22,96;16,71;23,1;16,81;23,24
1006449;ACICLOVIR;ACICLOVIR 50MG CREM BGX10G;1;BG;ACICLOVIR;GENÉRICOS;ACHÉ;1,05731E+12;5,52919E+14;30049069;7,89618E+12;GENÉRICO;0,021;0,099;TV;NEG;MONITORADO;0;0;0;17,84;23,83;19,08;25,43;19,21;25,6;19,35;25,78;19,91;26,5;16,61;22,96;16,71;23,1;16,81;23,24
