sinistro	data	horario	uf_ocorrencia	mercadoria	origem_uf	destino_uf	faixa_valor_carga	vinculo_motorista	local_ocorrencia
Acidente	2017-08-01	Noite	SC	Específicas	SP	RS	1	Agregado	BR 153
Acidente	2017-08-28	Manhã	MG	Hig/Limp/Cosm	MG	MG	2	Agregado	BR 381
Acidente	2017-10-09	Manhã	RJ	Específicas	GO	RJ	2	Agregado	Rua/Avenida
Acidente	2017-12-07	Tarde	MG	Específicas	GO	ES	3	Agregado	BR 262
Acidente	2017-01-14	Madrugada	MG	Frigorífico	MG	SP	2	Autônomo	BR 135
Acidente	2017-01-17	Madrugada	AL	Geral	SP	PR	3	Autônomo	BR 423
Acidente	2017-03-17	Manhã	SP	Alimentício	PR	CE	1	Autônomo	SP 563
Acidente	2017-05-04	Noite	MG	Rolamentos	SC	GO	1	Autônomo	BR 153
Acidente	2017-05-12	Tarde	GO	Alimentício	BA	BA	1	Autônomo	BR 020
Acidente	2017-07-15	Manhã	BA	Bebidas	BA	ES	1	Autônomo	BR 101
Acidente	2017-07-16	Manhã	BA	Alimentício	ES	CE	1	Autônomo	BR 101
Acidente	2017-09-02	Madrugada	SP	Geral	SP	PR	1	Autônomo	BR 116
Acidente	2017-09-20	Tarde	MS	Frigorífico	RO	EX	3	Autônomo	BR 163
Acidente	2017-09-21	Tarde	SP	Óleo Comestível	SP	MG	1	Autônomo	Rua/Avenida
Acidente	2017-09-27	Tarde	MG	Laticínios	SP	ES	1	Autônomo	BR 267
Acidente	2017-10-01	Noite	BA	Alimentício	PE	BA	2	Autônomo	BA 93
Acidente	2017-11-14	Manhã	MG	Alimentício	SP	CE	1	Autônomo	BR 381
Acidente	2017-11-29	Manhã	MA	Bebidas	BA	PA	1	Autônomo	BR 316
Acidente	2017-11-29	Manhã	MG	Frigorífico	PR	CE	1	Autônomo	BR 153
Acidente	2018-01-07	Tarde	RJ	Alumínio	SP	PE	3	Autônomo	BR 393
Acidente	2018-01-10	Noite	PA	Frigorífico	PA	PA	2	Autônomo	BR 155
Acidente	2018-02-09	Manhã	MG	Eletrônicos	SP	CE	4	Autônomo	BR 381
Acidente	2018-08-21	Tarde	SP	Minério	SC	SP	1	Autônomo	BR 116
Acidente	2017-01-12	Manhã	RS	Frigorífico	PR	RS	1	Funcionário	BR 386
Acidente	2017-02-06	Noite	MG	Frigorífico	MG	BA	1	Funcionário	BR 251
Acidente	2017-02-07	Manhã	MG	Aço/Ferro	SP	BA	1	Funcionário	BR 365
Acidente	2017-05-24	Madrugada	MA	Frigorífico	SP	AP	3	Funcionário	BR 010
Acidente	2017-06-03	Manhã	MG	Bebidas	RJ	MG	2	Funcionário	BR 040
Acidente	2017-06-09	Manhã	BA	Calçados	SP	BA	2	Funcionário	BR 116
Acidente	2017-06-26	Noite	PR	Hig/Limp/Cosm	MG	PR	3	Funcionário	BR 277
Acidente	2017-06-27	Manhã	PR	Confecção/Tecido/Fios	SP	RS	1	Funcionário	BR 116
Acidente	2017-08-27	Tarde	MA	Frigorífico	PA	MA	2	Funcionário	BR 222
Acidente	2017-09-05	Noite	BA	Frigorífico	PR	AL	1	Funcionário	BR 101
Acidente	2017-09-05	Noite	CE	Alimentício	PR	CE	1	Funcionário	BR 116
Acidente	2017-09-09	Manhã	MG	Móveis	SC	BA	1	Funcionário	BR 381
Acidente	2017-09-20	Madrugada	RJ	Confecção/Tecido/Fios	RJ	SP	3	Funcionário	BR 116
Acidente	2017-09-25	Tarde	GO	Frigorífico	GO	GO	1	Funcionário	GO 206
Acidente	2017-11-26	Tarde	SC	Específicas	SP	RS	3	Funcionário	BR 116
Acidente	2017-11-27	Manhã	MG	Hig/Limp/Cosm	SP	ES	3	Funcionário	BR 116
Acidente	2017-12-13	Madrugada	SP	Frigorífico	SP	SP	3	Funcionário	SP 330
Acidente	2017-12-25	Noite	ES	Alimentício	ES	RJ	1	Funcionário	ES 165
Acidente	2018-01-27	Tarde	BA	Químico	BA	SP	2	Funcionário	BR 116
Acidente	2018-01-28	Noite	MG	Autopeças	SC	MG	2	Funcionário	BR 381
Acidente	2018-02-11	Noite	SP	Geral	MS	SP	1	Funcionário	SP 280
Acidente	2018-07-27	Noite	PI	Frigorífico	PA	PE	2	Funcionário	BR 230
Acidente	2017-01-05	Madrugada	MG	Minério	MG	EX	2	S/Comprovação	BR 040
Acidente	2017-01-10	Tarde	SP	Geral	RJ	RJ	2	S/Comprovação	BR 116
Acidente	2017-01-12	Noite	PR	Matéria Prima	SP	RS	1	S/Comprovação	BR 376
Acidente	2017-01-25	Madrugada	PE	Bebidas	PE	PB	1	S/Comprovação	BR 101
Acidente	2017-01-26	Manhã	SP	Doces/Chocolate	SP	MG	2	S/Comprovação	SP 300
Acidente	2017-02-14	Tarde	AL	Hig/Limp/Cosm	PE	BA	1	S/Comprovação	BR 101
Acidente	2017-02-16	Manhã	SP	Eletrodoméstico	SP	PR	1	S/Comprovação	SP 280
Acidente	2017-02-20	Noite	MG	Café	MG	SP	3	S/Comprovação	BR 381
Acidente	2017-02-21	Madrugada	PR	Maquinário	RS	GO	5	S/Comprovação	PR 427
Acidente	2017-02-22	Manhã	MG	Químico	BA	SP	2	S/Comprovação	BR 251
Acidente	2017-02-24	Manhã	MG	Confecção/Tecido/Fios	SP	RN	2	S/Comprovação	BR 381
Acidente	2017-03-02	Noite	PR	Específicas	SC	SP	1	S/Comprovação	BR 116
Acidente	2017-03-15	Madrugada	MG	Geral	SP	MG	4	S/Comprovação	BR 381
Acidente	2017-03-22	Manhã	SC	Alimentício	RS	GO	2	S/Comprovação	BR 116
Acidente	2017-03-26	Madrugada	TO	Alimentício	MG	PA	2	S/Comprovação	BR 153
Acidente	2017-04-20	Madrugada	SP	Polímeros	RJ	PR	1	S/Comprovação	BR 116
Acidente	2017-04-25	Manhã	MA	Alimentício	MA	MT	1	S/Comprovação	BR 222
Acidente	2017-04-25	Tarde	SP	Frigorífico	SP	RJ	1	S/Comprovação	SP 304
Acidente	2017-04-26	Noite	MG	Hig/Limp/Cosm	MG	MG	4	S/Comprovação	BR 381
Acidente	2017-04-30	Manhã	SP	Veículo	SP	RN	2	S/Comprovação	SP 150
Acidente	2017-05-09	Manhã	AL	Laticínios	AL	GO	1	S/Comprovação	BR 101
Acidente	2017-05-13	Tarde	PR	Frigorífico	RS	RJ	1	S/Comprovação	BR 116
Acidente	2017-05-18	Manhã	MG	Específicas	BA	MG	4	S/Comprovação	BR 381
Acidente	2017-05-22	Madrugada	RS	Bebidas	SP	SP	1	S/Comprovação	BR 392
Acidente	2017-05-26	Manhã	MG	Geral	MG	SP	2	S/Comprovação	BR 381
Acidente	2017-05-27	Manhã	BA	Matéria Prima	SP	PE	1	S/Comprovação	BR 116
Acidente	2017-06-01	Tarde	BA	Fertilizantes	SE	SE	1	S/Comprovação	BR 110
Acidente	2017-06-25	Madrugada	MA	Frigorífico	MA	PA	1	S/Comprovação	BR 222
Acidente	2017-06-30	Madrugada	SE	Fios/Cabos	SP	PB	2	S/Comprovação	BR 101
Acidente	2017-07-08	Noite	GO	Hig/Limp/Cosm	GO	RO	1	S/Comprovação	BR 070
Acidente	2017-07-14	Noite	BA	Café	SP	SE	2	S/Comprovação	BR 116
Acidente	2017-07-21	Manhã	SP	Hig/Limp/Cosm	SP	SP	2	S/Comprovação	SP 330
Acidente	2017-07-24	Manhã	SP	Frigorífico	PR	RJ	1	S/Comprovação	BR 116
Acidente	2017-07-31	Manhã	MG	Hig/Limp/Cosm	MG	MG	4	S/Comprovação	BR 381
Acidente	2017-08-02	Tarde	ES	Fraldas	GO	ES	1	S/Comprovação	Rua/Avenida
Acidente	2017-08-08	Madrugada	MT	Específicas	SP	MT	1	S/Comprovação	BR 364
Acidente	2017-08-08	Noite	CE	Confecção/Tecido/Fios	SP	CE	2	S/Comprovação	BR 116
Acidente	2017-08-10	Madrugada	PR	Frigorífico	PR	PR	2	S/Comprovação	BR 277
Acidente	2017-08-15	Manhã	MG	Alumínio	SE	SP	3	S/Comprovação	BR 166
Acidente	2017-08-23	Madrugada	PE	Bateria	PE	EX	2	S/Comprovação	BR 232
Acidente	2017-08-24	Manhã	SP	Alimentício	SP	SP	1	S/Comprovação	Incerto
Acidente	2017-08-26	Tarde	PR	Frigorífico	PR	EX	1	S/Comprovação	PR 566
Acidente	2017-08-29	Manhã	DF	Alumínio	SP	DF	4	S/Comprovação	Rua/Avenida
Acidente	2017-08-31	Madrugada	MG	Eletrodoméstico	SP	MG	2	S/Comprovação	BR 381
Acidente	2017-09-13	Tarde	BA	Específicas	BA	MG	4	S/Comprovação	BR 116
Acidente	2017-09-24	Noite	MG	Café	MG	RS	3	S/Comprovação	MG 482
Acidente	2017-09-26	Manhã	PR	Bebidas	PR	RS	2	S/Comprovação	BR 376
Acidente	2017-09-26	Noite	MG	Material Elétrico	SP	SC	1	S/Comprovação	MG 122
Acidente	2017-09-28	Madrugada	SP	Confecção/Tecido/Fios	SP	EX	3	S/Comprovação	SP 160
Acidente	2017-09-29	Madrugada	SP	Tinta/Verniz	SP	SC	2	S/Comprovação	SP 021
Acidente	2017-09-29	Manhã	MG	Bebidas	SP	MG	1	S/Comprovação	BR 040
Acidente	2017-09-30	Manhã	SP	Frigorífico	PR	PA	1	S/Comprovação	SP 563
Acidente	2017-10-03	Noite	BA	Geral	BA	ES	1	S/Comprovação	BA 652
Acidente	2017-10-07	Noite	SP	Polímeros	SP	RS	1	S/Comprovação	BR 116
Acidente	2017-10-12	Manhã	MG	Veículo	RN	SP	4	S/Comprovação	BR 122
Acidente	2017-10-12	Tarde	SP	Frigorífico	MG	SP	4	S/Comprovação	BR 381
Acidente	2017-10-22	Manhã	MG	Hig/Limp/Cosm	MG	MG	2	S/Comprovação	BR 459
Acidente	2017-10-26	Tarde	MT	Específicas	GO	RO	4	S/Comprovação	BR 174
Acidente	2017-10-29	Manhã	SP	Bebidas	RS	SP	1	S/Comprovação	BR 116
Acidente	2017-10-29	Noite	MG	Calçados	SP	CE	1	S/Comprovação	BR 116
Acidente	2017-10-30	Madrugada	MG	Específicas	SP	PE	2	S/Comprovação	BR 251
Acidente	2017-10-31	Madrugada	SP	Café	SP	SP	2	S/Comprovação	SP 150
Acidente	2017-11-07	Manhã	PE	Alimentício	PE	PE	1	S/Comprovação	BR 101
Acidente	2017-11-19	Manhã	TO	Hig/Limp/Cosm	MA	SP	1	S/Comprovação	BR 153
Acidente	2017-11-24	Tarde	MT	Sementes	MT	MT	4	S/Comprovação	BR 163
Acidente	2017-11-26	Manhã	MG	Alimentício	SP	ES	1	S/Comprovação	BR 393
Acidente	2017-11-26	Noite	MG	Hig/Limp/Cosm	MG	SC	2	S/Comprovação	BR 135
Acidente	2017-12-02	Madrugada	RS	Móveis	RS	SP	2	S/Comprovação	BR 290
Acidente	2017-12-06	Manhã	SP	Óleo Comestível	MT	SP	1	S/Comprovação	SP 304
Acidente	2017-12-07	Madrugada	SP	Veículo	SP	GO	4	S/Comprovação	SP 330
Acidente	2017-12-08	Noite	MG	Alumínio	PI	SP	3	S/Comprovação	BR 116
Acidente	2017-12-13	Tarde	GO	Autopeças	AM	SP	4	S/Comprovação	BR 153
Acidente	2017-12-14	Noite	BA	Gerador	SP	SE	1	S/Comprovação	BR 235
Acidente	2017-12-14	Noite	SP	Gerador	SP	EX	5	S/Comprovação	SP 021
Acidente	2017-12-16	Madrugada	MT	Alimentício	DF	MT	1	S/Comprovação	BR 070
Acidente	2017-12-17	Manhã	PR	Frigorífico	RS	PE	2	S/Comprovação	PR 092
Acidente	2017-12-17	Tarde	MT	Frigorífico	RO	MG	2	S/Comprovação	BR 364
Acidente	2017-12-19	Noite	MG	Vidro	SP	GO	1	S/Comprovação	BR 262
Acidente	2017-12-22	Noite	BA	Específicas	ES	CE	3	S/Comprovação	BR 116
Acidente	2017-12-22	Noite	ES	Café	ES	RN	3	S/Comprovação	ES 130
Acidente	2017-12-24	Madrugada	PA	Gerador	SP	RR	3	S/Comprovação	Incerto
Acidente	2018-01-01	Manhã	BA	Hig/Limp/Cosm	PE	MG	2	S/Comprovação	BR 116
Acidente	2018-01-02	Manhã	RJ	Maquinário	MG	RJ	5	S/Comprovação	BR 116
Acidente	2018-01-09	Tarde	RS	Bebidas	PR	RS	1	S/Comprovação	RS 030
Acidente	2018-01-13	Madrugada	MG	Móveis	SP	BA	3	S/Comprovação	BR 251
Acidente	2018-01-15	Madrugada	MG	Hig/Limp/Cosm	SP	GO	2	S/Comprovação	BR 365
Acidente	2018-01-16	Madrugada	SP	Bebidas	SP	SP	1	S/Comprovação	SP 280
Acidente	2018-01-18	Noite	SP	Geral	PR	MG	4	S/Comprovação	BR 116
Acidente	2018-01-19	Noite	PE	Óleo Lubrificante	PE	PE	2	S/Comprovação	BR 101
Acidente	2018-01-19	Tarde	MG	Químico	BA	SP	1	S/Comprovação	BR 116
Acidente	2018-01-21	Tarde	MG	Alumínio	PI	SP	4	S/Comprovação	BR 116
Acidente	2018-01-25	Tarde	SP	Geral	SP	EX	4	S/Comprovação	Incerto
Acidente	2018-01-26	Madrugada	PR	Frigorífico	PR	SC	2	S/Comprovação	PR 280
Acidente	2018-01-27	Madrugada	MG	Maquinário	MG	SC	4	S/Comprovação	Rua/Avenida
Acidente	2018-01-27	Tarde	BA	Hig/Limp/Cosm	SP	BA	4	S/Comprovação	BR 122
Acidente	2018-01-28	Tarde	GO	Frigorífico	MT	SP	3	S/Comprovação	BR 362
Acidente	2018-01-31	Manhã	RJ	Laticínios	MG	RJ	3	S/Comprovação	BR 040
Acidente	2018-02-01	Manhã	SP	Alumínio	SP	PR	1	S/Comprovação	BR 116
Acidente	2018-02-01	Tarde	MG	Alumínio	SP	MT	3	S/Comprovação	BR 364
Acidente	2018-02-02	Tarde	TO	Confecção/Tecido/Fios	PA	PR	2	S/Comprovação	BR 226
Acidente	2018-02-03	Tarde	MS	Defensivo Agrícola	SP	MT	1	S/Comprovação	BR 163
Acidente	2018-02-04	Tarde	MG	Autopeças	MG	PE	1	S/Comprovação	BR 381
Acidente	2018-02-07	Manhã	GO	Frigorífico	RO	MG	2	S/Comprovação	BR 040
Acidente	2018-02-07	Noite	MT	Bebidas	GO	PA	1	S/Comprovação	MT 326
Acidente	2018-02-14	Noite	MA	Específicas	SP	PI	1	S/Comprovação	BR 316
Acidente	2018-02-23	Madrugada	PR	Frigorífico	EX	EX	3	S/Comprovação	BR 116
Acidente	2018-02-28	Tarde	PA	Alimentício	PB	PA	1	S/Comprovação	PA 160
Acidente	2018-03-08	Madrugada	SP	Medicamento	SC	SP	5	S/Comprovação	SP 280
Acidente	2018-03-10	Manhã	MG	Específicas	SP	BA	4	S/Comprovação	BR 135
Acidente	2018-03-16	Tarde	PR	Específicas	SC	RJ	4	S/Comprovação	BR 116
Acidente	2018-03-20	Tarde	RS	Autopeças	RS	RJ	3	S/Comprovação	RS 122
Acidente	2018-03-22	Tarde	MG	Laticínios	SP	BA	1	S/Comprovação	BR 251
Acidente	2018-03-25	Noite	MG	Hig/Limp/Cosm	MG	MG	3	S/Comprovação	BR 381
Acidente	2018-03-26	Tarde	PR	Aves	PR	SC	1	S/Comprovação	PR 170
Acidente	2018-03-27	Tarde	PE	Alumínio	SP	PE	4	S/Comprovação	BR 101
Acidente	2018-04-01	Manhã	MG	Alimentício	PR	CE	1	S/Comprovação	BR 365
Acidente	2018-04-07	Tarde	PA	Frigorífico	PA	PA	1	S/Comprovação	BR 222
Acidente	2018-04-07	Tarde	SC	Bebidas	SP	RS	1	S/Comprovação	BR 376
Acidente	2018-04-11	Madrugada	SP	Autopeças	SP	SP	3	S/Comprovação	SP 348
Acidente	2018-04-18	Tarde	MG	Café	MG	MG	2	S/Comprovação	BR 491
Acidente	2018-04-19	Manhã	MG	Específicas	SP	SE	3	S/Comprovação	BR 116
Acidente	2018-04-24	Noite	SP	Específicas	SP	BA	1	S/Comprovação	BR 381
Acidente	2018-04-25	Madrugada	AL	Específicas	SP	PE	1	S/Comprovação	BR 101
Acidente	2018-04-28	Manhã	SP	Frigorífico	SP	SP	1	S/Comprovação	Rua/Avenida
Acidente	2018-05-09	Noite	MG	Hig/Limp/Cosm	MG	MG	4	S/Comprovação	BR 381
Acidente	2018-05-09	Noite	PR	Frigorífico	PR	PR	3	S/Comprovação	BR 376
Acidente	2018-05-11	Noite	BA	Específicas	CE	ES	4	S/Comprovação	BR 116
Acidente	2018-05-17	Madrugada	MG	Autopeças	SP	PR	4	S/Comprovação	BR 381
Acidente	2018-05-31	Noite	PR	Veículo	PR	RS	3	S/Comprovação	BR 116
Acidente	2018-05-31	Tarde	RS	Laticínios	RS	RJ	1	S/Comprovação	BR 386
Acidente	2018-06-03	Tarde	SC	Específicas	SC	SP	3	S/Comprovação	SC 108
Acidente	2018-06-10	Manhã	PR	Hig/Limp/Cosm	EX	SP	3	S/Comprovação	BR 476
Acidente	2018-06-11	Tarde	MG	Hig/Limp/Cosm	MG	MG	2	S/Comprovação	BR 267
Acidente	2018-06-12	Manhã	RS	Medicamento	GO	RS	4	S/Comprovação	BR 156
Acidente	2018-06-14	Madrugada	BA	Alimentício	ES	BA	1	S/Comprovação	BR 101
Acidente	2018-06-15	Tarde	PR	Frigorífico	PR	PE	1	S/Comprovação	BR 376
Acidente	2018-06-17	Manhã	MS	Frigorífico	MT	EX	2	S/Comprovação	BR 163
Acidente	2018-06-19	Noite	SP	Autopeças	SP	EX	3	S/Comprovação	SP 150
Acidente	2018-06-21	Madrugada	TO	Frigorífico	PA	BA	2	S/Comprovação	TO 040
Acidente	2018-06-25	Madrugada	MT	Bebidas	AL	MT	1	S/Comprovação	BR 070
Acidente	2018-06-26	Manhã	MG	Computador/Tablet	RJ	MG	1	S/Comprovação	BR 040
Acidente	2018-06-27	Noite	BA	Confecção/Tecido/Fios	RJ	PE	1	S/Comprovação	BR 116
Acidente	2018-07-01	Tarde	BA	Hig/Limp/Cosm	PE	SP	1	S/Comprovação	BR 110
Acidente	2018-07-02	Tarde	PE	Laticínios	RS	CE	2	S/Comprovação	BR 116
Acidente	2018-07-04	Manhã	MG	Bebidas	SP	MG	1	S/Comprovação	BR 116
Acidente	2018-07-05	Manhã	MG	Café	MG	MG	2	S/Comprovação	BR 265
Acidente	2018-07-08	Manhã	SC	Hig/Limp/Cosm	EX	SP	3	S/Comprovação	BR 153
Acidente	2018-07-09	Noite	SC	Alumínio	SC	SP	2	S/Comprovação	BR 116
Acidente	2018-07-11	Noite	PR	Sementes	PR	SC	4	S/Comprovação	PR 445
Acidente	2018-07-12	Manhã	SC	Frigorífico	PR	SC	3	S/Comprovação	SC 415
Acidente	2018-07-13	Tarde	MG	Confecção/Tecido/Fios	RJ	PE	2	S/Comprovação	BR 116
Acidente	2018-07-14	Manhã	MG	Alimentício	GO	SP	1	S/Comprovação	BR 153
Acidente	2018-07-17	Tarde	RS	Alimentício	RS	SP	1	S/Comprovação	BR 287
Acidente	2018-07-22	Manhã	MG	Frigorífico	SP	CE	1	S/Comprovação	BR 365
Acidente	2018-07-22	Manhã	MT	Geral	PE	MT	1	S/Comprovação	BR 070
Acidente	2018-07-25	Madrugada	SP	Autopeças	RS	SP	2	S/Comprovação	BR 116
Acidente	2018-07-30	Manhã	MG	Hig/Limp/Cosm	MG	SP	2	S/Comprovação	BR 459
Acidente	2018-08-02	Madrugada	BA	Específicas	CE	BA	3	S/Comprovação	BR 116
Acidente	2018-08-06	Madrugada	GO	Específicas	SP	PA	3	S/Comprovação	BR 153
Acidente	2018-08-06	Noite	MS	Frigorífico	AC	SP	2	S/Comprovação	MS 306
Acidente	2018-08-09	Noite	SP	Bateria	SP	AP	4	S/Comprovação	BR 116
Acidente	2018-08-10	Manhã	PR	Veículo	PR	MS	3	S/Comprovação	BR 153
Acidente	2018-08-10	Tarde	MG	Autopeças	SP	MG	4	S/Comprovação	BR 381
Acidente	2018-08-22	Manhã	PA	Específicas	GO	PA	4	S/Comprovação	BR 010
Acidente	2018-08-24	Noite	PR	Veículo	SP	SC	2	S/Comprovação	BR 116
Acidente	2018-08-26	Madrugada	PA	Geral	AM	SP	2	S/Comprovação	BR 010
Acidente	2018-08-27	Tarde	BA	Laticínios	BA	BA	4	S/Comprovação	BR 101
Acidente	2018-08-28	Noite	GO	Celulares	GO	PA	3	S/Comprovação	BR 153
Acidente	2018-08-30	Tarde	RO	Defensivo Agrícola	MT	RO	3	S/Comprovação	BR 435
Acidente	2018-09-03	Madrugada	PR	Frigorífico	MT	PR	2	S/Comprovação	PR 092
Acidente	2018-09-04	Noite	SP	Específicas	SC	SP	4	S/Comprovação	BR 116
Acidente	2018-09-05	Tarde	RJ	Aço/Ferro	SP	PE	2	S/Comprovação	BR 393
Acidente	2018-09-14	Madrugada	MG	Hig/Limp/Cosm	MG	SP	1	S/Comprovação	BR 381
Acidente	2018-09-15	Noite	MG	Laticínios	SP	PE	4	S/Comprovação	BR 381
Acidente	2018-09-17	Tarde	ES	Específicas	ES	BA	3	S/Comprovação	BR 101
Acidente	2018-09-21	Manhã	MG	Defensivo Agrícola	MG	MG	4	S/Comprovação	MR 400
Acidente	2018-09-26	Madrugada	MT	Frigorífico	MT	EX	4	S/Comprovação	BR 364
Acidente	2018-09-28	Madrugada	MT	Frigorífico	RO	SC	2	S/Comprovação	BR 174
Acidente	2018-09-29	Manhã	MS	Frigorífico	SC	MS	2	S/Comprovação	BR 163
