cep;idade;sexo;pagamento_tipo;produto_tipo
41830290;27;Feminino;Cartão de Crédito;Cabelo
4036000;27;Feminino;Cartão de Crédito;Maquiagem
29200190;28;Feminino;Cartão de Crédito;Cabelo
86066030;32;Feminino;Cartão de Crédito;Tratamento
21380010;24;Feminino;Cartão de Crédito;Cabelo
60190801;28;Feminino;Cartão de Crédito;Cabelo
22743670;27;Feminino;Cartão de Crédito;Maquiagem
41343670;32;Feminino;Cartão de Crédito;Tratamento
90150060;23;Feminino;Boleto;Maquiagem
89500000;22;Masculino;Boleto;Maquiagem
21920445;32;Feminino;Boleto;Cabelo
3210001;31;Feminino;Cartão de Crédito;Maquiagem
70658271;34;Masculino;Cartão de Crédito;Corpo
21011070;34;Feminino;Cartão de Crédito;Maquiagem
9710210;28;Feminino;Cartão de Crédito;Cabelo
87020160;25;Feminino;Cartão de Crédito;Maquiagem
48607020;34;Feminino;Cartão de Crédito;Corpo
46100000;18;Feminino;Cartão de Crédito;Corpo
4304010;28;Masculino;Cartão de Crédito;Corpo
71931360;29;Feminino;Cartão de Crédito;Tratamento
22743670;23;Feminino;Cartão de Crédito;Cabelo
6018160;28;Feminino;Débito;Cabelo
13260000;35;Feminino;Cartão de Crédito;Corpo
70772100;25;Feminino;Cartão de Crédito;Maquiagem
35519000;18;Feminino;Boleto;Cabelo
75110280;27;Feminino;Cartão de Crédito;Maquiagem
71910360;31;Feminino;Cartão de Crédito;Tratamento
89820000;21;Feminino;Boleto;Maquiagem
1259000;34;Feminino;Cartão de Crédito;Corpo
20725050;23;Feminino;Cartão de Crédito;Corpo
30140081;31;Feminino;Cartão de Crédito;Cabelo
30575080;28;Feminino;Cartão de Crédito;Tratamento
55420000;23;Masculino;Cartão de Crédito;Corpo
35700427;21;Feminino;Cartão de Crédito;Maquiagem
17600710;30;Feminino;Cartão de Crédito;Maquiagem
58700310;24;Feminino;Cartão de Crédito;Tratamento
70675604;22;Feminino;Débito;Maquiagem
65085540;24;Feminino;Cartão de Crédito;Tratamento
21371090;32;Feminino;Boleto;Corpo
78912190;32;Feminino;Cartão de Crédito;Maquiagem
17860000;29;Masculino;Boleto;Corpo
39450000;33;Feminino;Boleto;Tratamento
45836000;27;Feminino;Cartão de Crédito;Cabelo
27915340;24;Feminino;Cartão de Crédito;Maquiagem
22745005;35;Feminino;Boleto;Corpo
4116160;32;Feminino;Débito;Cabelo
4142081;25;Masculino;Cartão de Crédito;Corpo
22411000;22;Feminino;Cartão de Crédito;Maquiagem
80240030;25;Feminino;Débito;Cabelo
13013040;32;Feminino;Cartão de Crédito;Cabelo
12228690;26;Feminino;Cartão de Crédito;Cabelo
11441310;31;Feminino;Cartão de Crédito;Maquiagem
38680000;21;Feminino;Cartão de Crédito;Corpo
82320440;30;Feminino;Cartão de Crédito;Maquiagem
30240350;24;Feminino;Cartão de Crédito;Tratamento
18950000;34;Feminino;Cartão de Crédito;Cabelo
13390000;18;Masculino;Cartão de Crédito;Maquiagem
35160100;29;Feminino;Boleto;Tratamento
12515590;35;Feminino;Boleto;Corpo
14840000;22;Feminino;Cartão de Crédito;Cabelo
44900000;28;Feminino;Cartão de Crédito;Maquiagem
97573970;19;Feminino;Boleto;Cabelo
1212000;33;Feminino;Cartão de Crédito;Maquiagem
2452060;27;Feminino;Cartão de Crédito;Maquiagem
5396020;26;Feminino;Cartão de Crédito;Tratamento
82300430;22;Feminino;Cartão de Crédito;Tratamento
12327060;35;Feminino;Boleto;Tratamento
24421510;20;Feminino;Boleto;Corpo
25015210;28;Feminino;Cartão de Crédito;Tratamento
3034010;23;Feminino;Cartão de Crédito;Maquiagem
37250000;31;Feminino;Débito;Corpo
4532000;33;Feminino;Cartão de Crédito;Tratamento
82560100;28;Feminino;Cartão de Crédito;Corpo
4027000;35;Feminino;Cartão de Crédito;Maquiagem
29101220;34;Feminino;Cartão de Crédito;Cabelo
91770430;30;Masculino;Boleto;Corpo
30160030;27;Feminino;Cartão de Crédito;Tratamento
86390000;21;Feminino;Boleto;Maquiagem
63260000;34;Masculino;Cartão de Crédito;Cabelo
9190450;21;Feminino;Cartão de Crédito;Corpo
18618000;33;Feminino;Cartão de Crédito;Tratamento
97760000;25;Masculino;Cartão de Crédito;Tratamento
50730180;32;Feminino;Boleto;Corpo
9725650;34;Feminino;Boleto;Maquiagem
29145760;22;Feminino;Cartão de Crédito;Pele
70375050;27;Feminino;Cartão de Crédito;Cabelo
29075120;25;Feminino;Boleto;Corpo
6016010;34;Masculino;Cartão de Crédito;Maquiagem
78968000;26;Feminino;Cartão de Crédito;Corpo
16015030;24;Feminino;Cartão de Crédito;Maquiagem
1241010;24;Feminino;Cartão de Crédito;Tratamento
70702909;31;Feminino;Boleto;Tratamento
4548005;35;Feminino;Cartão de Crédito;Corpo
4121040;28;Feminino;Cartão de Crédito;Corpo
86706180;21;Masculino;Boleto;Corpo
52010150;25;Feminino;Cartão de Crédito;Maquiagem
60170041;29;Feminino;Cartão de Crédito;Maquiagem
18075541;31;Feminino;Cartão de Crédito;Maquiagem
51021280;33;Masculino;Cartão de Crédito;Cabelo
97015513;23;Feminino;Cartão de Crédito;Maquiagem
59603290;19;Feminino;Cartão de Crédito;Maquiagem
14015110;26;Feminino;Débito;Tratamento
7081200;23;Feminino;Cartão de Crédito;Maquiagem
96825480;34;Feminino;Boleto;Maquiagem
1549020;24;Feminino;Cartão de Crédito;Maquiagem
18683500;23;Feminino;Cartão de Crédito;Tratamento
30220150;28;Feminino;Cartão de Crédito;Cabelo
7270315;24;Feminino;Cartão de Crédito;Tratamento
8674011;21;Feminino;Débito;Cabelo
12246021;33;Masculino;Cartão de Crédito;Maquiagem
85660000;24;Feminino;Boleto;Maquiagem
80050520;31;Feminino;Boleto;Corpo
4088002;32;Feminino;Cartão de Crédito;Maquiagem
6624230;33;Masculino;Débito;Corpo
21650410;28;Feminino;Cartão de Crédito;Corpo
60170250;31;Feminino;Cartão de Crédito;Tratamento
31785730;28;Masculino;Cartão de Crédito;Tratamento
5541100;24;Feminino;Boleto;Maquiagem
95800000;23;Feminino;Cartão de Crédito;Maquiagem
80810000;33;Feminino;Cartão de Crédito;Maquiagem
55004241;21;Feminino;Cartão de Crédito;Cabelo
57035220;34;Masculino;Boleto;Tratamento
22640102;20;Feminino;Débito;Maquiagem
4014012;28;Feminino;Cartão de Crédito;Maquiagem
92320810;23;Feminino;Cartão de Crédito;Tratamento
9940600;34;Feminino;Cartão de Crédito;Cabelo
7600000;28;Feminino;Boleto;Tratamento
59078200;22;Feminino;Boleto;Cabelo
71625080;27;Feminino;Boleto;Tratamento
83800000;26;Feminino;Cartão de Crédito;Corpo
3118030;34;Feminino;Boleto;Cabelo
22430190;28;Feminino;Boleto;Maquiagem
13031580;24;Feminino;Cartão de Crédito;Tratamento
42600000;32;Feminino;Cartão de Crédito;Maquiagem
9360380;35;Feminino;Cartão de Crédito;Tratamento
37500080;27;Feminino;Cartão de Crédito;Cabelo
37068050;31;Feminino;Cartão de Crédito;Tratamento
64055400;29;Feminino;Cartão de Crédito;Tratamento
30380730;32;Feminino;Cartão de Crédito;Maquiagem
70299150;33;Feminino;Débito;Corpo
39660000;25;Feminino;Cartão de Crédito;Tratamento
30730440;27;Feminino;Cartão de Crédito;Corpo
45201262;32;Feminino;Cartão de Crédito;Cabelo
13218367;31;Feminino;Cartão de Crédito;Cabelo
60175375;33;Feminino;Cartão de Crédito;Cabelo
19400000;33;Masculino;Cartão de Crédito;Cabelo
31140020;34;Feminino;Cartão de Crédito;Pele
13013040;28;Feminino;Cartão de Crédito;Tratamento
14140000;26;Feminino;Cartão de Crédito;Corpo
13207340;27;Feminino;Cartão de Crédito;Cabelo
60415150;24;Feminino;Cartão de Crédito;Tratamento
20011020;28;Feminino;Cartão de Crédito;Tratamento
73015100;29;Feminino;Cartão de Crédito;Cabelo
89740000;24;Feminino;Cartão de Crédito;Tratamento
71503502;24;Feminino;Cartão de Crédito;Maquiagem
70275050;25;Feminino;Cartão de Crédito;Tratamento
9071360;24;Feminino;Cartão de Crédito;Maquiagem
21361131;26;Feminino;Cartão de Crédito;Tratamento
13321082;28;Feminino;Cartão de Crédito;Cabelo
52051120;23;Feminino;Boleto;Cabelo
13503200;33;Feminino;Cartão de Crédito;Corpo
52020030;26;Feminino;Cartão de Crédito;Maquiagem
18500000;30;Feminino;Cartão de Crédito;Tratamento
24358000;29;Feminino;Cartão de Crédito;Corpo
57035230;25;Feminino;Cartão de Crédito;Pele
60125121;35;Feminino;Cartão de Crédito;Corpo
12900130;32;Feminino;Cartão de Crédito;Tratamento
3162050;30;Feminino;Cartão de Crédito;Maquiagem
20550200;32;Feminino;Cartão de Crédito;Corpo
3640010;35;Feminino;Cartão de Crédito;Corpo
98750000;25;Feminino;Cartão de Crédito;Tratamento
78904590;25;Feminino;Boleto;Tratamento
2614070;26;Feminino;Cartão de Crédito;Tratamento
98600000;22;Feminino;Boleto;Pele
56304110;35;Feminino;Cartão de Crédito;Tratamento
13085015;29;Feminino;Cartão de Crédito;Maquiagem
1546010;35;Feminino;Cartão de Crédito;Maquiagem
14026140;21;Feminino;Cartão de Crédito;Tratamento
41810045;26;Masculino;Cartão de Crédito;Corpo
74313530;35;Feminino;Cartão de Crédito;Tratamento
89216410;24;Feminino;Cartão de Crédito;Maquiagem
65980000;34;Feminino;Cartão de Crédito;Tratamento
95099300;34;Feminino;Cartão de Crédito;Tratamento
25660313;27;Feminino;Boleto;Maquiagem
38411202;20;Feminino;Cartão de Crédito;Maquiagem
38183187;25;Feminino;Cartão de Crédito;Tratamento
99470000;28;Feminino;Boleto;Tratamento
9240410;28;Feminino;Cartão de Crédito;Corpo
91350000;22;Feminino;Cartão de Crédito;Cabelo
18275060;27;Feminino;Cartão de Crédito;Cabelo
12924310;34;Feminino;Cartão de Crédito;Corpo
38411382;23;Feminino;Débito;Corpo
37701183;23;Feminino;Cartão de Crédito;Corpo
89041240;25;Feminino;Cartão de Crédito;Cabelo
28300000;27;Feminino;Cartão de Crédito;Cabelo
70866530;25;Feminino;Cartão de Crédito;Corpo
27281620;32;Masculino;Cartão de Crédito;Cabelo
69190000;27;Masculino;Cartão de Crédito;Tratamento
38400060;29;Feminino;Cartão de Crédito;Tratamento
18650000;23;Feminino;Cartão de Crédito;Tratamento
53020120;20;Feminino;Cartão de Crédito;Maquiagem
2965140;32;Feminino;Boleto;Corpo
7140230;30;Feminino;Cartão de Crédito;Cabelo
5757110;31;Feminino;Cartão de Crédito;Tratamento
2343010;28;Feminino;Cartão de Crédito;Corpo
71605200;27;Feminino;Cartão de Crédito;Tratamento
2349000;25;Masculino;Cartão de Crédito;Maquiagem
28300000;29;Feminino;Boleto;Cabelo
89870000;31;Feminino;Cartão de Crédito;Maquiagem
63040510;24;Feminino;Cartão de Crédito;Maquiagem
22020010;34;Feminino;Cartão de Crédito;Tratamento
22723425;31;Feminino;Boleto;Corpo
22411003;35;Masculino;Cartão de Crédito;Corpo
80035030;29;Feminino;Boleto;Cabelo
