data	faruamento
2020-01-01	25960.70
2020-02-01	32438.30
2020-03-01	56644.50
2020-04-01	62090.30
2020-05-01	89883.40
2020-06-01	109116.70
2020-07-01	123203.40
2020-08-01	131842.80
2020-09-01	146750.90
2020-10-01	137763.26
2020-11-01	156768.42
2020-12-01	270360.39
2021-01-01	170971.65
2021-02-01	170162.39
2021-03-01	233813.29
2021-04-01	193013.26
2021-05-01	228271.40
2021-06-01	286927.28
2021-07-01	441500.42
2021-08-01	411874.34
2021-09-01	413025.50
2021-10-01	397419.88
2021-11-01	427301.86
2021-12-01	559545.66
2022-01-01	296309.48
2022-02-01	287005.76
2022-03-01	519458.9761
2022-04-01	459223.45
2022-05-01	493335.12
2022-06-01	551226.7254
2022-07-01	742802.5945
2022-08-01	700934.7735
2022-09-01	569683.81
2022-10-01	587380.74
2022-11-01	724237.16
2022-12-01	958331.7279
2023-01-01	597713.21
2023-02-01	705517.825
2023-03-01	610834.23
2023-04-01	576900.865
2023-05-01	754740.201
2023-06-01	804368.21
2023-07-01	955272.1678
2023-08-01	673713.9342
  
