idade;classe_trabalho;fnwgt;escolaridade;numero_educacao;estado_civil;ocupacao;relacionamento;raca;sexo;nacionalidade;ganho_de_capital;perda_de_capital;horas_trabalho_semana;renda_anual
39;governo-estadual;77516;graduacao;13;solteiro;Administrativo e Clerical;Não na Família;Branco;Masculino;Estados Unidos;2174;0;40;<=50K
50;autonomo-sem-imcorporacao;83311;graduacao;13;casado;Gerencial Executivo;Marido;Branco;Masculino;Estados Unidos;0;0;13;<=50K
38;privado;215646;ensino-medio-completo;9;divorciado;Faxineiro;Não na Família;Branco;Masculino;Estados Unidos;0;0;40;<=50K
53;privado;234721;ensino-medio-incompleto;7;casado;Faxineiro;Marido;Negro;Masculino;Estados Unidos;0;0;40;<=50K
37;privado;284582;mestrado;14;casado;Gerencial Executivo;Esposa;Branco;Feminino;Estados Unidos;0;0;40;<=50K
52;autonomo-sem-imcorporacao;209642;ensino-medio-completo;9;casado;Gerencial Executivo;Marido;Branco;Masculino;Estados Unidos;0;0;45;>50K
31;privado;45781;mestrado;14;solteiro;Especialidade Profissional;Não na Família;Branco;Feminino;Estados Unidos;14084;0;50;>50K
42;privado;159449;graduacao;13;casado;Gerencial Executivo;Marido;Branco;Masculino;Estados Unidos;5178;0;40;>50K
37;privado;280464;graduacao-incompleta;10;casado;Gerencial Executivo;Marido;Negro;Masculino;Estados Unidos;0;0;80;>50K
23;privado;122272;graduacao;13;solteiro;Administrativo e Clerical;Filho Próprio;Branco;Feminino;Estados Unidos;0;0;30;<=50K
32;privado;205019;tecnologo;12;solteiro;Vendas;Não na Família;Negro;Masculino;Estados Unidos;0;0;50;<=50K
25;autonomo-sem-imcorporacao;176756;ensino-medio-completo;9;solteiro;Agricultura e Pesca;Filho Próprio;Branco;Masculino;Estados Unidos;0;0;35;<=50K
32;privado;186824;ensino-medio-completo;9;solteiro;Operador de Máquinas e Inspeção;Não Casado;Branco;Masculino;Estados Unidos;0;0;40;<=50K
38;privado;28887;ensino-medio-incompleto;7;casado;Vendas;Marido;Branco;Masculino;Estados Unidos;0;0;50;<=50K
43;autonomo-sem-imcorporacao;292175;mestrado;14;divorciado;Gerencial Executivo;Não Casado;Branco;Feminino;Estados Unidos;0;0;45;>50K
40;privado;193524;doutorado;16;casado;Especialidade Profissional;Marido;Branco;Masculino;Estados Unidos;0;0;60;>50K
54;privado;302146;ensino-medio-completo;9;separado;Outros Serviços;Não Casado;Negro;Feminino;Estados Unidos;0;0;20;<=50K
35;governo-federal;76845;nono-ano;5;casado;Agricultura e Pesca;Marido;Negro;Masculino;Estados Unidos;0;0;40;<=50K
43;privado;117037;ensino-medio-incompleto;7;casado;Transporte e Movimentação;Marido;Branco;Masculino;Estados Unidos;0;2042;40;<=50K
59;privado;109015;ensino-medio-completo;9;divorciado;Suporte Técnico;Não Casado;Branco;Feminino;Estados Unidos;0;0;40;<=50K
56;governo-municipal;216851;graduacao;13;casado;Suporte Técnico;Marido;Branco;Masculino;Estados Unidos;0;0;40;>50K
19;privado;168294;ensino-medio-completo;9;solteiro;Reparo de Artesanato;Filho Próprio;Branco;Masculino;Estados Unidos;0;0;40;<=50K
39;privado;367260;ensino-medio-completo;9;divorciado;Gerencial Executivo;Não na Família;Branco;Masculino;Estados Unidos;0;0;80;<=50K
49;privado;193366;ensino-medio-completo;9;casado;Reparo de Artesanato;Marido;Branco;Masculino;Estados Unidos;0;0;40;<=50K
23;governo-municipal;190709;tecnologo;12;solteiro;Serviço de Proteção;Não na Família;Branco;Masculino;Estados Unidos;0;0;52;<=50K
20;privado;266015;graduacao-incompleta;10;solteiro;Vendas;Filho Próprio;Negro;Masculino;Estados Unidos;0;0;44;<=50K
45;privado;386940;graduacao;13;divorciado;Gerencial Executivo;Filho Próprio;Branco;Masculino;Estados Unidos;0;1408;40;<=50K
30;governo-federal;59951;graduacao-incompleta;10;casado;Administrativo e Clerical;Filho Próprio;Branco;Masculino;Estados Unidos;0;0;40;<=50K
22;governo-estadual;311512;graduacao-incompleta;10;casado;Outros Serviços;Marido;Negro;Masculino;Estados Unidos;0;0;15;<=50K
21;privado;197200;graduacao-incompleta;10;solteiro;Operador de Máquinas e Inspeção;Filho Próprio;Branco;Masculino;Estados Unidos;0;0;40;<=50K
19;privado;544091;ensino-medio-completo;9;casado-conjuge-militar;Administrativo e Clerical;Esposa;Branco;Feminino;Estados Unidos;0;0;25;<=50K
48;autonomo-sem-imcorporacao;265477;tecnologo;12;casado;Especialidade Profissional;Marido;Branco;Masculino;Estados Unidos;0;0;40;<=50K
31;privado;507875;nono-ano;5;casado;Operador de Máquinas e Inspeção;Marido;Branco;Masculino;Estados Unidos;0;0;43;<=50K
53;autonomo-sem-imcorporacao;88506;graduacao;13;casado;Especialidade Profissional;Marido;Branco;Masculino;Estados Unidos;0;0;40;<=50K
48;privado;242406;ensino-medio-incompleto;7;solteiro;Operador de Máquinas e Inspeção;Não Casado;Branco;Masculino;Porto Rico;0;0;40;<=50K
30;governo-estadual;141297;graduacao;13;casado;Especialidade Profissional;Marido;Asiático e Ilhas do Pacífico;Masculino;Índia;0;0;40;>50K
54;;180211;graduacao-incompleta;10;casado;?;Marido;Asiático e Ilhas do Pacífico;Masculino;Sul;0;0;60;>50K
28;privado;338409;graduacao;13;casado;Especialidade Profissional;Esposa;Negro;Feminino;Cuba;0;0;40;<=50K
49;privado;160187;nono-ano;5;casado-conjuge-ausente;Outros Serviços;Não na Família;Negro;Feminino;Jamaica;0;0;16;<=50K
34;privado;245487;oitavo ano;4;casado;Transporte e Movimentação;Marido;Indígena Americano ou Eskimó;Masculino;México;0;0;45;<=50K
40;privado;121772;tecnologo;11;casado;Reparo de Artesanato;Marido;Asiático e Ilhas do Pacífico;Masculino;;0;0;40;>50K
31;privado;84154;graduacao-incompleta;10;casado;Vendas;Marido;Branco;Masculino;;0;0;38;>50K
24;privado;172987;graduacao;13;casado;Suporte Técnico;Marido;Branco;Masculino;Estados Unidos;0;0;50;<=50K
49;privado;94638;ensino-medio-completo;9;separado;Administrativo e Clerical;Não Casado;Branco;Feminino;Estados Unidos;0;0;40;<=50K
25;privado;289980;ensino-medio-completo;9;solteiro;Faxineiro;Não na Família;Branco;Masculino;Estados Unidos;0;0;35;<=50K
57;governo-federal;337895;graduacao;13;casado;Especialidade Profissional;Marido;Negro;Masculino;Estados Unidos;0;0;40;>50K
53;privado;144361;ensino-medio-completo;9;casado;Operador de Máquinas e Inspeção;Marido;Branco;Masculino;Estados Unidos;0;0;38;<=50K
44;privado;128354;mestrado;14;divorciado;Gerencial Executivo;Não Casado;Branco;Feminino;Estados Unidos;0;0;40;<=50K
41;governo-estadual;101603;tecnologo;11;casado;Reparo de Artesanato;Marido;Branco;Masculino;Estados Unidos;0;0;40;<=50K
29;privado;271466;tecnologo;11;solteiro;Especialidade Profissional;Não na Família;Branco;Masculino;Estados Unidos;0;0;43;<=50K
25;privado;32275;graduacao-incompleta;10;casado;Gerencial Executivo;Esposa;Outra;Feminino;Estados Unidos;0;0;40;<=50K
18;privado;226956;ensino-medio-completo;9;solteiro;Outros Serviços;Filho Próprio;Branco;Feminino;;0;0;30;<=50K
