id	classificacao	nome	combustivel	aspirado_turbina	portas	carroceria	tracao	motor_posicao	entre_eixos	comprimento	largura	altura	peso	motor_tipo	cilindros	motor_tamanho	injecao_tipo	compressao	torque	compressao	hp	rpm_max	consumo_cidade_litros	consumo_estrada_litros	preco
1	3	alfa-romero giulia	gas	std	duas	convertible	traseira	dianteira	2.250	4.288	1.628	1.240	2548	dohc	quatro	130	mpfi	3.47	2.68	9	111	5000	5.548	7.133	67475
2	3	alfa-romero stelvio	gas	std	duas	convertible	traseira	dianteira	2.250	4.288	1.628	1.240	2548	dohc	quatro	130	mpfi	3.47	2.68	9	111	5000	5.548	7.133	82500
3	1	alfa-romero Quadrifoglio	gas	std	duas	hatchback	traseira	dianteira	2.400	4.348	1.664	1.331	2823	ohcv	seis	152	mpfi	2.68	3.47	9	154	5000	5.020	6.869	82500
4	2	audi 100 ls	gas	std	quatro	sedan	dianteira	dianteira	2.535	4.486	1.681	1.379	2337	ohc	quatro	109	mpfi	3.19	3.4	10	102	5500	6.341	7.926	69750
5	2	audi 100ls	gas	std	quatro	sedan	4x4	dianteira	2.525	4.486	1.687	1.379	2824	ohc	cinco	136	mpfi	3.19	3.4	8	115	5500	4.756	5.812	87250
6	2	audi fox	gas	std	duas	sedan	dianteira	dianteira	2.535	4.503	1.684	1.349	2507	ohc	cinco	136	mpfi	3.19	3.4	8.5	110	5500	5.020	6.605	76250
7	1	audi 100ls	gas	std	quatro	sedan	dianteira	dianteira	2.687	4.895	1.814	1.415	2844	ohc	cinco	136	mpfi	3.19	3.4	8.5	110	5500	5.020	6.605	88550
8	1	audi 5000	gas	std	quatro	wagon	dianteira	dianteira	2.687	4.895	1.814	1.415	2954	ohc	cinco	136	mpfi	3.19	3.4	8.5	110	5500	5.020	6.605	94600
9	1	audi 4000	gas	turbo	quatro	sedan	dianteira	dianteira	2.687	4.895	1.814	1.420	3086	ohc	cinco	131	mpfi	3.13	3.4	8.3	140	5500	4.491	5.284	119375
10	0	audi 5000s (diesel)	gas	turbo	duas	hatchback	4x4	dianteira	2.527	4.526	1.725	1.321	3053	ohc	cinco	131	mpfi	3.13	3.4	7	160	5500	4.227	5.812	89295
11	2	bmw 320i	gas	std	duas	sedan	traseira	dianteira	2.570	4.491	1.646	1.379	2395	ohc	quatro	108	mpfi	3.5	2.8	8.8	101	5800	6.077	7.662	82150
12	0	bmw 320i	gas	std	quatro	sedan	traseira	dianteira	2.570	4.491	1.646	1.379	2395	ohc	quatro	108	mpfi	3.5	2.8	8.8	101	5800	6.077	7.662	84625
13	0	bmw x1	gas	std	duas	sedan	traseira	dianteira	2.570	4.491	1.646	1.379	2710	ohc	seis	164	mpfi	3.31	3.19	9	121	4250	5.548	7.398	104850
14	0	bmw x3	gas	std	quatro	sedan	traseira	dianteira	2.570	4.491	1.646	1.379	2765	ohc	seis	164	mpfi	3.31	3.19	9	121	4250	5.548	7.398	105525
