Id;habit_tipo;habit_zona_tipo;lote_testada;lote_area;rua_acesso_tipo;acesso_jardim_tipo;lote_formato;lote_topografia;servicos_publicos;lote_configuracao;lote_declive;bairro;habitacao_tipo;habitacao_estilo;acabamento_nivel;condicao_geral;construcao_ano;reforma_estrutural_ano;telhado_ipo;telhado_material;exterior_revestimento;exterior_revestimento_2;alvenaria_cobertura;alvenaria_area;exterior_mat_qualidade;exterior_condicao;tipo_fundacao;porao_altura_qualidade;porao_estado_geral;parede_jardim_estado;porao_espaco_qualidade;area_construida;area_finulllizada_qualidade;metros_acabados_2;area_inacabada_porao;porao_area_total;aquecimento_tipo;aquecimento_qualidade;ar_condicionado_central;sistema_eletrico;area_andar_1;area_andar_2;area_quadrada_baixa_qualidade;area_habitavel;quantidade_banheiro_porao;quantidade_lavabo_porao;quantidade_banheiros_completos;quantidade_lavabos;quantidade_quartos;quantidade_cozinha;cozinha_qualidade;quartos_quantidade;Functional;lareira_quantidade;lareira_qualidade;condicao_1;condicao_2;garagem_tipo;garagem_ano_construcao;garagem_acabamento;garagem_carros;garagem_area;garagem_qualidade;garagem_condicao;rua_Parcialavimento;deck_area;varanda_aberta_area;varanda_fechada_area;varanda_inverno_area;varanda_verao_area;piscina_area;piscina_qualidade;cerca;recursos_extras;recursos_extras_valor;venda_mes;venda_ano;venda_tipo;venda_condicao;venda_preco
1;60;Residencial Baixa Densidade;65;8450;Pavimentado;NA;Regular;Plano;Todos;Interno;Suave;Tijuca;1Fam;2Story;7;5;2003;2003;Empenado;Telha Padrão;Revestimento de vinil;Revestimento de vinil;Pedra Lasca;196;Bom;Médio;Concreto armado;Bom;Média;Sem Exposiçao;Boa para morar;706;inacabado;0;150;856;Gás;Excelente;sim;SBrkr;856;854;0;1710;1;0;2;1;3;1;Bom;8;Typ;0;null;Normal;Normal;Anexo à casa;2003;Acabamento Bruto;2;548;Média;Média;Parcialavimentado;0;61;0;0;0;0;null;null;null;0;2;2008;Termo de Garantia - 15% de entradavencional;Normal;208500
3;60;Residencial Baixa Densidade;68;11250;Pavimentado;NA;Ligeiramente irregular;Plano;Todos;Interno;Suave;Tijuca;1Fam;2Story;7;5;2001;2002;Empenado;Telha Padrão;Revestimento de vinil;Revestimento de vinil;Pedra Lasca;162;Bom;Médio;Concreto armado;Bom;Média;Mínimo;Boa para morar;486;inacabado;0;434;920;Gás;Excelente;sim;SBrkr;920;866;0;1786;1;0;2;1;3;1;Bom;6;Typ;1;Média;Normal;Normal;Anexo à casa;2001;Acabamento Bruto;2;608;Média;Média;Parcialavimentado;0;42;0;0;0;0;null;null;null;0;9;2008;Termo de Garantia - 15% de entradavencional;Normal;223500
5;60;Residencial Baixa Densidade;84;14260;Pavimentado;NA;Ligeiramente irregular;Plano;Todos;Duas Frentes;Suave;Lapa;1Fam;2Story;8;5;2000;2000;Empenado;Telha Padrão;Revestimento de vinil;Revestimento de vinil;Pedra Lasca;350;Bom;Médio;Concreto armado;Bom;Média;Médio;Boa para morar;655;inacabado;0;490;1145;Gás;Excelente;sim;SBrkr;1145;1053;0;2198;1;0;2;1;4;1;Bom;9;Typ;1;Média;Normal;Normal;Anexo à casa;2000;Acabamento Bruto;3;836;Média;Média;Parcialavimentado;192;84;0;0;0;0;null;null;null;0;12;2008;Termo de Garantia - 15% de entradavencional;Normal;250000
6;50;Residencial Baixa Densidade;85;14115;Pavimentado;NA;Ligeiramente irregular;Plano;Todos;Interno;Suave;Copacabana;1Fam;1.5Fin;5;5;1993;1995;Empenado;Telha Padrão;Revestimento de vinil;Revestimento de vinil;Nenhum;0;Mediano;Médio;Madeira;Bom;Média;Sem Exposiçao;Boa para morar;732;inacabado;0;64;796;Gás;Excelente;sim;SBrkr;796;566;0;1362;1;0;1;1;1;1;Média;5;Typ;0;null;Normal;Normal;Anexo à casa;1993;Inacabado;2;480;Média;Média;Parcialavimentado;40;30;0;320;0;0;null;Baixa privacidade;Galpão;700;10;2009;Termo de Garantia - 15% de entradavencional;Normal;143000
7;20;Residencial Baixa Densidade;75;10084;Pavimentado;NA;Regular;Plano;Todos;Interno;Suave;Iriri;1Fam;1Story;8;5;2004;2005;Empenado;Telha Padrão;Revestimento de vinil;Revestimento de vinil;Pedra;186;Bom;Médio;Concreto armado;Excelente;Média;Médio;Boa para morar;1369;inacabado;0;317;1686;Gás;Excelente;sim;SBrkr;1694;0;0;1694;1;0;2;0;3;1;Bom;7;Typ;1;Bom;Normal;Normal;Anexo à casa;2004;Acabamento Bruto;2;636;Média;Média;Parcialavimentado;255;57;0;0;0;0;null;null;null;0;8;2007;Termo de Garantia - 15% de entradavencional;Normal;307000
14;20;Residencial Baixa Densidade;91;10652;Pavimentado;NA;Ligeiramente irregular;Plano;Todos;Interno;Suave;Tijuca;1Fam;1Story;7;5;2006;2007;Empenado;Telha Padrão;Revestimento de vinil;Revestimento de vinil;Pedra;306;Bom;Médio;Concreto armado;Bom;Média;Médio;Inacabado;0;inacabado;0;1494;1494;Gás;Excelente;sim;SBrkr;1494;0;0;1494;0;0;2;0;3;1;Bom;7;Typ;1;Bom;Normal;Normal;Anexo à casa;2006;Acabamento Bruto;3;840;Média;Média;Parcialavimentado;160;33;0;0;0;0;null;null;null;0;8;2007;Casa nova;Parcial;279500
2;20;Residencial Baixa Densidade;80;9600;Pavimentado;NA;Regular;Plano;Todos;Duas Frentes;Suave;Vassouras;1Fam;1Story;6;8;1976;1976;Empenado;Telha Padrão;Revestimento de metal;Revestimento de Metal;Nenhum;0;Mediano;Médio;Bloco de concreto;Bom;Média;Bom;Alojamento mediano;978;inacabado;0;284;1262;Gás;Excelente;sim;SBrkr;1262;0;0;1262;0;1;2;0;3;1;Média;6;Typ;1;Média;Rua lateral;Normal;Anexo à casa;1976;Acabamento Bruto;2;460;Média;Média;Parcialavimentado;298;0;0;0;0;0;null;null;null;0;5;2007;Termo de Garantia - 15% de entradavencional;Normal;181500
10;190;Residencial Baixa Densidade;50;7420;Pavimentado;NA;Regular;Plano;Todos;Esquina;Suave;Leblon;2fmCon;1.5Unf;5;6;1939;1950;Empenado;Telha Padrão;Revestimento de metal;Revestimento de Metal;Nenhum;0;Mediano;Médio;Tijolos e Azuleijos;Médio;Média;Sem Exposiçao;Boa para morar;851;inacabado;0;140;991;Gás;Excelente;sim;SBrkr;1077;0;0;1077;1;0;1;0;2;2;Média;5;Typ;2;Média;Rua principal;Rua principal;Anexo à casa;1939;Acabamento Bruto;1;205;Bom;Média;Parcialavimentado;0;4;0;0;0;0;null;null;null;0;1;2008;Termo de Garantia - 15% de entradavencional;Normal;118000
15;20;Residencial Baixa Densidade;NA;10920;Pavimentado;NA;Ligeiramente irregular;Plano;Todos;Esquina;Suave;Arpuador;1Fam;1Story;6;5;1960;1960;Telha de Barro;Telha Padrão;Revestimento de metal;Revestimento de Metal;Pedra Lasca;212;Mediano;Médio;Bloco de concreto;Médio;Média;Sem Exposiçao;Alojamento abaixo da média;733;inacabado;0;520;1253;Gás;Médio;sim;SBrkr;1253;0;0;1253;1;0;1;1;2;1;Média;5;Typ;1;Razoável;Normal;Normal;Anexo à casa;1960;Acabamento Bruto;1;352;Média;Média;Parcialavimentado;0;213;176;0;0;0;null;Boa de madeira;null;0;5;2008;Termo de Garantia - 15% de entradavencional;Normal;157000
18;90;Residencial Baixa Densidade;72;10791;Pavimentado;NA;Regular;Plano;Todos;Interno;Suave;Maragogi;Duplex;1Story;4;5;1967;1967;Empenado;Telha Padrão;Revestimento de metal;Revestimento de Metal;Nenhum;0;Mediano;Médio;Laje;null;null;null;null;0;null;0;0;0;Gás;Médio;sim;SBrkr;1296;0;0;1296;0;0;2;0;2;2;Média;6;Typ;0;null;Normal;Normal;Telhado;1967;Inacabado;2;516;Média;Média;Parcialavimentado;0;0;0;0;0;0;null;null;Galpão;500;10;2006;Termo de Garantia - 15% de entradavencional;Normal;90000
