Market;Commodity;Variety;Grade;Price
Chittoor;Gur(Jaggery);NO 1;FAQ;4000
Chittoor;Gur(Jaggery);NO 2;FAQ;3500
Chittoor;Gur(Jaggery);NO 3;FAQ;2300
Punganur;Tomato;Hybrid;FAQ;1670
Vayalapadu;Tomato;Local;FAQ;1400
Alur;Jowar(Sorghum);Jowar ( White);FAQ;2860
Atmakur;Maize;Hybrid/Local;FAQ;1962
Atmakur;Paddy(Dhan)(Common);Sona Mahsuri;FAQ;2040
Banaganapalli;Bengal Gram(Gram)(Whole);Desi (Whole);FAQ;4700
Banaganapalli;Jowar(Sorghum);Jowar ( White);FAQ;3000
Banaganapalli;Paddy(Dhan)(Common);Sona Mahsuri;FAQ;2050
Nandikotkur;Bengal Gram(Gram)(Whole);Gulabi;FAQ;5230
Nandikotkur;Maize;Hybrid;FAQ;1962
Nandikotkur;Paddy(Dhan)(Common);Sona;FAQ;2040
Gopalavaram;Lemon;Lemon;FAQ;5200
Bihiya;Brinjal;Arkasheela Mattigulla;FAQ;1700
Kaimur;Cauliflower;Other;FAQ;600
Kaimur;Onion;1st Sort;FAQ;1350
Kaimur;Potato;(Red Nanital);FAQ;650
Bahadurganj;Apple;American;Medium;7500
Bahadurganj;Banana;Amruthapani;Medium;2200
Bahadurganj;Cabbage;Cabbage;FAQ;750
Bahadurganj;Cauliflower;African Sarson;FAQ;700
Bahadurganj;Coriander(Leaves);Coriander;FAQ;5500
Bahadurganj;Grapes;Annabesahai;Medium;5000
Bahadurganj;Onion;1st Sort;FAQ;1600
Bahadurganj;Potato;(Red Nanital);FAQ;750
Bahadurganj;Tomato;Deshi;FAQ;1350
Munghair;Bottle gourd;Bottle Gourd;FAQ;2400
Munghair;Brinjal;Arkasheela Mattigulla;FAQ;2200
Munghair;Cabbage;Cabbage;FAQ;1200
Munghair;Cauliflower;African Sarson;FAQ;1200
Munghair;Field Pea;Field Pea;FAQ;1500
Munghair;Onion;1st Sort;FAQ;1500
Munghair;Potato;(Red Nanital);FAQ;1200
Munghair;Raddish;Other;FAQ;1400
Munghair;Tomato;Deshi;FAQ;1200
Nawada;Bhindi(Ladies Finger);Bhindi;FAQ;5050
Nawada;Brinjal;Other;FAQ;550
Nawada;Cabbage;Cabbage;FAQ;400
Nawada;Onion;Other;FAQ;1500
Nawada;Potato;Other;FAQ;450
Nawada;Tomato;Deshi;FAQ;500
Parsoniya Mandi, Mahua block;Bottle gourd;Bottle Gourd;FAQ;1600
Parsoniya Mandi, Mahua block;Brinjal;Round/Long;FAQ;1300
Parsoniya Mandi, Mahua block;Cabbage;Cabbage;FAQ;700
Parsoniya Mandi, Mahua block;Cauliflower;African Sarson;FAQ;1000
Parsoniya Mandi, Mahua block;Coriander(Leaves);Coriander;FAQ;4300
Parsoniya Mandi, Mahua block;Green Chilli;Green Chilly;FAQ;4800
Parsoniya Mandi, Mahua block;Onion;1st Sort;FAQ;1600
Parsoniya Mandi, Mahua block;Peas cod;Other;FAQ;1900
Parsoniya Mandi, Mahua block;Potato;(Red Nanital);FAQ;550
Parsoniya Mandi, Mahua block;Tomato;Deshi;FAQ;700
Chandigarh(Grain/Fruit);Bottle gourd;Other;FAQ;1750
Chandigarh(Grain/Fruit);Cauliflower;Other;FAQ;300
Chandigarh(Grain/Fruit);Cucumbar(Kheera);Other;FAQ;2250
Chandigarh(Grain/Fruit);Ginger(Green);Other;FAQ;4250
Chandigarh(Grain/Fruit);Grapes;Other;Medium;5500
Chandigarh(Grain/Fruit);Green Chilli;Other;FAQ;2500
Chandigarh(Grain/Fruit);Lemon;Other;FAQ;5000
Chandigarh(Grain/Fruit);Mousambi(Sweet Lime);Other;Medium;3500
Chandigarh(Grain/Fruit);Onion;Other;FAQ;1050
Chandigarh(Grain/Fruit);Peas Wet;Other;FAQ;2150
Chandigarh(Grain/Fruit);Pomegranate;Other;Medium;10000
Chandigarh(Grain/Fruit);Potato;Other;FAQ;300
Chandigarh(Grain/Fruit);Pumpkin;Other;FAQ;1100
Chandigarh(Grain/Fruit);Tomato;Other;FAQ;900
Bhatgaon;Paddy(Dhan)(Common);Paddy;FAQ;1550
Kasdol;Paddy(Dhan)(Common);Paddy;FAQ;1355
Sarsiwan;Paddy(Dhan)(Common);Paddy;FAQ;1550
Kusmee;Wheat;Local;FAQ;2100
Bilaspur;Paddy(Dhan)(Common);Other;FAQ;1650
Pendraroad;Wheat;Local;FAQ;1900
Sakri;Lak(Teora);Lak (Whole);FAQ;3500
Takhatpur;Paddy(Dhan)(Common);Paddy;FAQ;1550
Tiphra;Apple;Apple;Large;8600
Tiphra;Banana;Banana - Ripe;Large;4400
Tiphra;Mousambi(Sweet Lime);Mousambi;Large;4100
Tiphra;Orange;Orange;Large;4500
Tiphra;Papaya;Papaya;Large;3400
Tiphra;Pomegranate;Pomogranate;Large;9400
Gidam;Mahua;Other;FAQ;1800
Gidam;Tamarind Seed;Tamarind Seed;FAQ;3100
Belarbahara;Paddy(Dhan)(Common);I.R. 36;FAQ;1500
Belargaon;Paddy(Dhan)(Common);I.R. 36;FAQ;1500
Boraee;Paddy(Dhan)(Common);I.R. 36;FAQ;1500
Gattasilli;Paddy(Dhan)(Common);I.R. 36;FAQ;1500
Nagari;Paddy(Dhan)(Common);I.R. 36;FAQ;1900
Durg;Apple;Apple;Medium;14000
Durg;Banana - Green;Banana - Green;FAQ;1700
Durg;Bhindi(Ladies Finger);Bhindi;FAQ;5250
Durg;Bitter gourd;Bitter Gourd;FAQ;2900
Durg;Bottle gourd;Bottle Gourd;FAQ;900
Durg;Brinjal;Round/Long;FAQ;750
Durg;Cabbage;Cabbage;FAQ;350
Durg;Capsicum;Capsicum;FAQ;1250
Durg;Carrot;Carrot;FAQ;1800
Durg;Cauliflower;Cauliflower;FAQ;650
Durg;Chikoos(Sapota);Sapota;Medium;5500
Durg;Coriander(Leaves);Coriander;FAQ;2100
Durg;Cucumbar(Kheera);Cucumbar;FAQ;1550
Durg;Garlic;Average;FAQ;4750
Durg;Ginger(Green);Green Ginger;FAQ;6250
Durg;Grapes;Green;Medium;7250
Durg;Green Chilli;Green Chilly;FAQ;3250
Durg;Guar;Gwar;FAQ;5500
Durg;Guava;Guava Navalur;Medium;3000
Durg;Knool Khol;Knool Khol;FAQ;1450
Durg;Lemon;Lemon;FAQ;7500
Durg;Little gourd (Kundru);Little gourd (Kundru);FAQ;3250
Durg;Methi(Leaves);Methi;FAQ;2800
Durg;Mousambi(Sweet Lime);Mousambi;Medium;5500
Durg;Onion;Nasik;FAQ;1650
Durg;Orange;Nagpuri;Medium;6500
Durg;Papaya (Raw);Papaya (Raw);FAQ;2750
Durg;Peas Wet;Peas Wet;FAQ;1850
Durg;Pomegranate;Pomogranate;Medium;14500
Durg;Potato;Potato;FAQ;1050
Durg;Pumpkin;Pumpkin;FAQ;1100
Durg;Raddish;Raddish;FAQ;1250
Durg;Sweet Potato;Sweet Potato;FAQ;2250
Durg;Tomato;Tomato;FAQ;450
Durg;Water Melon;Water Melon;Medium;1100
Champa;Wheat;Other;FAQ;2000
