id_cliente;cliente_sexo;cliente_idade;cliente_renda_estimada;loja_uf;loja_cidade;valor_medio_compra
0;Masculino;22;Maior que 10.000;RJ;RIO DE JANEIRO;188
33;Masculino;38;Entre 5.000 e 9.999;SP;SÃO PAULO;227
2079;Feminino;20;Entre 2.500 e 4.999;SP;SÃO PAULO;130
2108;Feminino;35;Maior que 10.000;RJ;RIO DE JANEIRO;127
2273;Masculino;23;Entre 1.000 e 2.499;RJ;RIO DE JANEIRO;100
2376;Masculino;21;Maior que 10.000;SP;SÃO PAULO;511
2461;Feminino;40;Maior que 10.000;RJ;RIO DE JANEIRO;209
2601;Masculino;39;Entre 5.000 e 9.999;SP;CAMPINAS;178
3315;Feminino;32;Entre 2.500 e 4.999;SP;SÃO PAULO;173
3336;Feminino;30;Maior que 10.000;RJ;RIO DE JANEIRO;78
3543;Masculino;37;Maior que 10.000;RJ;RIO DE JANEIRO;182
3568;Feminino;24;Entre 2.500 e 4.999;SP;SÃO PAULO;73
4387;Masculino;30;Maior que 10.000;RJ;RIO DE JANEIRO;375
4835;Feminino;21;Entre 2.500 e 4.999;RJ;RIO DE JANEIRO;80
4843;Feminino;26;Entre 2.500 e 4.999;SP;SÃO PAULO;195
5140;Feminino;29;Maior que 10.000;RJ;RIO DE JANEIRO;78
5703;Masculino;64;Maior que 10.000;RJ;RIO DE JANEIRO;276
5926;Feminino;40;Maior que 10.000;SP;SÃO PAULO;146
5945;Feminino;25;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;46
6609;Feminino;41;Entre 2.500 e 4.999;RJ;RIO DE JANEIRO;30
6636;Feminino;34;Entre 2.500 e 4.999;RJ;RIO DE JANEIRO;90
6648;Feminino;49;Maior que 10.000;RJ;RIO DE JANEIRO;80
6785;Feminino;41;Entre 2.500 e 4.999;SP;SAO PAULO;178
6991;Feminino;48;Entre 2.500 e 4.999;SP;SÃO PAULO;164
7328;Feminino;24;Maior que 10.000;SP;SÃO PAULO;117
7393;Feminino;22;Entre 5.000 e 9.999;SP;SANTOS;224
7539;Feminino;39;Maior que 10.000;RJ;RIO DE JANEIRO;139
7685;Feminino;27;Maior que 10.000;RJ;RIO DE JANEIRO;185
7771;Feminino;33;Entre 5.000 e 9.999;SP;SÃO PAULO;479
7943;Feminino;29;Maior que 10.000;RJ;RIO DE JANEIRO;136
8329;Feminino;49;Maior que 10.000;RJ;RIO DE JANEIRO;292
8389;Masculino;44;Entre 2.500 e 4.999;SP;SÃO PAULO;106
8521;Feminino;43;Maior que 10.000;RJ;RIO DE JANEIRO;230
8933;Feminino;28;Entre 2.500 e 4.999;SP;SÃO PAULO;269
9158;Feminino;25;Entre 5.000 e 9.999;RJ;RIO DE JANEIRO;330
9444;Masculino;37;Entre 5.000 e 9.999;MG;BELO HORIZONTE;175
9468;Feminino;29;Maior que 10.000;RJ;RIO DE JANEIRO;189
9538;Feminino;29;Entre 2.500 e 4.999;SP;SÃO PAULO;236
9599;Masculino;51;Entre 2.500 e 4.999;RJ;RIO DE JANEIRO;210
9880;Feminino;40;Maior que 10.000;RJ;RIO DE JANEIRO;84
9930;Feminino;59;Maior que 10.000;RJ;RIO DE JANEIRO;278
10126;Feminino;54;Maior que 10.000;RJ;RIO DE JANEIRO;257
10232;Feminino;25;Entre 2.500 e 4.999;SP;SÃO PAULO;165
10259;Feminino;27;Entre 5.000 e 9.999;SP;SÃO PAULO;380
10318;Masculino;26;Entre 2.500 e 4.999;RJ;RIO DE JANEIRO;104
