sinistro	data_sinistro	sinistro_mes	sinistro_dia_semana	horario_sinistro	cidade_sinistro	uf_sinistro	mercadoria_grupo	origem_cidade	origem_uf	destino_cidade	destino_uf	valor_carga	motorista_vinculo
Roubo/Furto	02/01/2017	janeiro	segunda-feira	Sem Inf	Campinas	SP	Geral	Campinas	SP	Rondonópolis	MT	1 - De R$ 100.000 a R$ 200.000	Autônomo
Outros	03/01/2017	janeiro	segunda-feira	Sem Inf	Blumenau	SC	Alimentício	Cabo de Sto Agostinho	PE	Blumenau	SC	3 - Até R$ 500.000	S/Comprovação
Roubo/Furto	03/01/2017	janeiro	segunda-feira	Sem Inf	Anápolis	GO	Fraldas	Anápolis	GO	Jaboatão dos Guararapes	PE	2 - Até R$ 300.000	Autônomo
Acidente	05/01/2017	janeiro	segunda-feira	Madrugada	Carandai	MG	Minério	Pirapora	MG	Exterior	EX	2 - Até R$ 300.000	S/Comprovação
Roubo/Furto	06/01/2017	janeiro	segunda-feira	Noite	Escada	PE	Alimentício	Garanhuns	PE	Ipojuca	PE	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	06/01/2017	janeiro	segunda-feira	Madrugada	Aramina	SP	E-Commerce	Minas Gerais	MG	São Paulo	SP	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Outros	06/01/2017	janeiro	segunda-feira	Tarde	Vila Velha	ES	Pneus	Holanda	EX	Mariana	MG	3 - Até R$ 500.000	S/Comprovação
Roubo/Furto	08/01/2017	janeiro	terça-feira	Noite	Rio Claro	SP	Tubos e Conexões	Rio Claro	SP	São Paulo	SP	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	08/01/2017	janeiro	terça-feira	Noite	Rio Claro	SP	Tubos e Conexões	Rio Claro	SP	São Paulo	SP	1 - De R$ 100.000 a R$ 200.000	Autônomo
Roubo/Furto	10/01/2017	janeiro	terça-feira	Manhã	Petropolis	RJ	Óleo Lubrificante	Duque de Caxias	RJ	Aparecida de Goiânia	GO	2 - Até R$ 300.000	Autônomo
Acidente	10/01/2017	janeiro	terça-feira	Tarde	Barra do Turvo	SP	Geral	Duque de Caxias	RJ	Resende	RJ	2 - Até R$ 300.000	S/Comprovação
Roubo/Furto	10/01/2017	janeiro	terça-feira	Madrugada	Limeira	SP	Alumínio	Pindamonhangaba	SP	Cuiabá	MT	3 - Até R$ 500.000	Autônomo
Outros	10/01/2017	janeiro	terça-feira	Sem Inf	Jundiaí	SP	Geral	Alemanha	EX	Jundiaí	SP	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	12/01/2017	janeiro	terça-feira	Manhã	São Gonçalo do Sapucaí	MG	Hig/Limp/Cosm	Louveira	SP	João Pessoa	PB	4 - Até R$ 1.000.000	Funcionário
Acidente	12/01/2017	janeiro	terça-feira	Manhã	Marquês de Souza	RS	Frigorífico	Castro	PR	Roca Sales	RS	1 - De R$ 100.000 a R$ 200.000	Funcionário
Acidente	12/01/2017	janeiro	terça-feira	Noite	Guaratuba	PR	Matéria Prima	São Paulo	SP	Rio Grande do Sul	RS	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	14/01/2017	janeiro	terça-feira	Madrugada	Guarulhos	SP	E-Commerce	Itapevi	SP	Guarulhos	SP	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Acidente	14/01/2017	janeiro	terça-feira	Madrugada	Corinto	MG	Frigorífico	Janaúba	MG	Santos	SP	2 - Até R$ 300.000	Autônomo
Roubo/Furto	16/01/2017	janeiro	quarta-feira	Noite	Delmiro Gouveia	AL	Hig/Limp/Cosm	Louveira	SP	São José do Mipibu	RN	4 - Até R$ 1.000.000	Funcionário
Roubo/Furto	16/01/2017	janeiro	quarta-feira	Tarde	Rio Verde	GO	Sementes	Aparecida de Goiânia	GO	Diversos	GO	4 - Até R$ 1.000.000	Autônomo
Acidente	17/01/2017	janeiro	quarta-feira	Madrugada	Água Branca	AL	Geral	São Paulo	SP	Abreu de Lima	PR	3 - Até R$ 500.000	Autônomo
Roubo/Furto	18/01/2017	janeiro	quarta-feira	Tarde	Paranatama	PE	Hig/Limp/Cosm	Louveira	SP	João Pessoa	PB	4 - Até R$ 1.000.000	Funcionário
Roubo/Furto	18/01/2017	janeiro	quarta-feira	Sem Inf	Santa Rita do Passa Quatro	SP	E-Commerce	Jandira	SP	Ribeirão Preto	SP	4 - Até R$ 1.000.000	S/Comprovação
Roubo/Furto	18/01/2017	janeiro	quarta-feira	Noite	Atibaia	SP	Químico	Mauá	SP	Dermeval Lobão	PI	1 - De R$ 100.000 a R$ 200.000	Autônomo
Roubo/Furto	19/01/2017	janeiro	quarta-feira	Madrugada	Professor Jamil	GO	E-Commerce	Uberlândia	MG	Goiânia	GO	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	19/01/2017	janeiro	quarta-feira	Madrugada	Guararema	SP	Alumínio	Araquari	SC	Pindamonhangaba	SP	2 - Até R$ 300.000	Autônomo
Outros	19/01/2017	janeiro	quarta-feira	Sem Inf	São Paulo	SP	Autopeças	China	EX	São Paulo	SP	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	20/01/2017	janeiro	quarta-feira	Manhã	Mamanguape	PB	Hig/Limp/Cosm	Louveira	SP	São José do Mipibu	RN	4 - Até R$ 1.000.000	Funcionário
Roubo/Furto	21/01/2017	janeiro	quarta-feira	Noite	Itatiba	SP	Químico	Camaçari	BA	Indaiatuba	SP	2 - Até R$ 300.000	Funcionário
Roubo/Furto	22/01/2017	janeiro	quinta-feira	Madrugada	Itabamcuri	MG	Hig/Limp/Cosm	Louveira	SP	Vitoria da Conquista	BA	1 - De R$ 100.000 a R$ 200.000	Funcionário
Roubo/Furto	22/01/2017	janeiro	quinta-feira	Tarde	Pedras de Fogo	PB	Hig/Limp/Cosm	Ipojuca	PE	Mossoró	RN	1 - De R$ 100.000 a R$ 200.000	Funcionário
Roubo/Furto	25/01/2017	janeiro	quinta-feira	Madrugada	Prata	MG	Hig/Limp/Cosm	Louveira	SP	Castanhal	PA	3 - Até R$ 500.000	Funcionário
Acidente	25/01/2017	janeiro	quinta-feira	Madrugada	Itapissuma	PE	Bebidas	Cabo de Santo Agostinho	PE	João Pessoa	PB	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	25/01/2017	janeiro	quinta-feira	Noite	Pindamonhangaba	SP	Alumínio	Sertãozinho	SP	Pindamonhangaba	SP	1 - De R$ 100.000 a R$ 200.000	Autônomo
Acidente	26/01/2017	janeiro	quinta-feira	Manhã	Jundiaí	SP	Doces/Chocolate	Cabreuva	SP	Uberlândia	MG	2 - Até R$ 300.000	S/Comprovação
